oa11cd,population
E00041828,285
E00041829,271
E00041820,231
E00041821,257
E00041823,297
E00041824,296
E00041831,320
E00041856,298
E00041857,235
E00041858,287
E00041859,270
E00041867,213
E00041869,366
E00041873,259
E00041848,155
E00041849,259
E00041850,681
E00041852,281
E00041866,442
E00041868,295
E00041851,483
E00041853,140
E00041854,242
E00041870,268
E00041871,372
E00041875,236
E00041845,430
E00041855,211
E00041861,206
E00041864,270
E00041872,175
E00041874,375
E00041846,300
E00041847,257
E00041860,745
E00041862,275
E00041863,227
E00041865,305
E00041879,317
E00041892,221
E00041895,312
E00041896,174
E00041897,253
E00041898,382
E00041876,202
E00041880,255
E00041881,273
E00041902,287
E00041906,155
E00041908,311
E00041899,23
E00041901,9
E00041903,276
E00041904,226
E00041907,511
E00166219,253
E00166221,266
E00166222,542
E00166224,219
E00041882,287
E00041883,371
E00041885,376
E00041888,282
E00041905,393
E00041909,310
E00041877,371
E00041884,262
E00041887,302
E00041893,339
E00041894,303
E00041878,273
E00041886,291
E00041889,255
E00041890,279
E00041891,345
E00041910,223
E00041915,325
E00041941,301
E00041942,282
E00170026,339
E00170027,216
E00041914,250
E00041920,318
E00041924,282
E00041929,259
E00041944,368
E00041918,255
E00041919,305
E00041923,271
E00041926,311
E00041927,257
E00041916,296
E00041917,304
E00041921,199
E00041940,304
E00041943,261
E00041922,250
E00041928,306
E00041930,266
E00041931,298
E00041933,175
E00041911,366
E00041913,343
E00041925,334
E00041932,192
E00041934,256
E00041912,265
E00041935,315
E00041936,307
E00041937,267
E00041938,306
E00041950,309
E00041956,291
E00041960,310
E00041962,283
E00041963,274
E00041952,282
E00041953,249
E00041958,191
E00041959,263
E00041979,280
E00041947,297
E00041948,228
E00041949,244
E00041954,256
E00041957,327
E00041961,308
E00041964,278
E00041967,267
E00041969,271
E00041973,222
E00041946,363
E00041965,244
E00041966,253
E00041968,273
E00041975,248
E00041945,273
E00041970,246
E00041971,285
E00041972,238
E00041974,285
E00041951,269
E00041955,253
E00041976,319
E00041977,286
E00041978,309
E00041992,162
E00041995,289
E00041996,203
E00041997,281
E00041998,237
E00041999,236
E00041986,357
E00041987,391
E00041988,336
E00041991,236
E00041993,248
E00041981,285
E00041989,325
E00041994,275
E00042000,260
E00042001,298
E00041982,256
E00041984,208
E00041990,288
E00042004,277
E00042005,300
E00041980,309
E00041983,403
E00041985,250
E00042002,263
E00042003,225
E00042006,242
E00042010,415
E00042011,322
E00042012,275
E00042030,216
E00042031,287
E00042013,346
E00042014,257
E00042036,321
E00042039,288
E00042041,213
E00042024,270
E00042026,249
E00042028,263
E00042029,271
E00042033,178
E00042032,209
E00042034,306
E00042035,250
E00042037,330
E00042038,302
E00042015,308
E00042016,269
E00042017,320
E00042018,239
E00042040,267
E00042009,257
E00042019,193
E00042021,206
E00042023,297
E00042025,249
E00042027,245
E00042008,535
E00042020,216
E00042022,309
E00170020,239
E00170023,108
E00170024,337
E00170030,319
