oa11cd,workers
E00041363,20
E00041364,53
E00041366,11
E00041367,11
E00041368,13
E00041369,30
E00041370,14
E00041371,76
E00041372,13
E00041374,183
E00041375,2456
E00041376,4
E00041377,9
E00041378,102
E00041380,633
E00041381,28
E00041382,10
E00041383,26
E00041384,252
E00041385,49
E00041386,15
E00041388,21
E00041389,38
E00041390,38
E00041393,60
E00041394,74
E00041395,280
E00041397,28
E00041399,44
E00041400,99
E00041401,207
E00041402,53
E00041404,83
E00041405,9
E00041406,63
E00041407,205
E00041408,71
E00041409,232
E00041410,128
E00041411,827
E00041413,2952
E00041414,182
E00041415,102
E00041416,50
E00041417,13
E00041418,13
E00041419,13
E00041420,70
E00041421,87
E00041422,1379
E00041423,28
E00041424,45
E00041425,11
E00041426,25
E00041427,331
E00041429,64
E00041430,173
E00041431,168
E00041432,17
E00041433,168
E00041434,37
E00041435,1230
E00041436,27
E00041437,9
E00041438,954
E00041439,16
E00041440,36
E00041441,34
E00041442,19
E00041443,33
E00041444,31
E00041445,36
E00041446,210
E00041447,28
E00041448,25
E00041449,10
E00041450,23
E00041451,21
E00041452,21
E00041453,14
E00041454,19
E00041455,27
E00041456,16
E00041457,23
E00041458,14
E00041459,30
E00041460,3128
E00041461,30
E00041462,22
E00041463,35
E00041464,18
E00041465,9
E00041466,19
E00041467,26
E00041468,610
E00041469,149
E00041470,15
E00041471,27
E00041472,28
E00041473,27
E00041474,25
E00041475,20
E00041476,50
E00041477,39
E00041478,48
E00041479,18
E00041480,25
E00041481,43
E00041482,23
E00041483,73
E00041484,32
E00041485,95
E00041486,19
E00041487,30
E00041488,17
E00041489,34
E00041490,20
E00041491,79
E00041492,28
E00041493,161
E00041494,18
E00041495,125
E00041496,30
E00041497,14
E00041498,71
E00041499,68
E00041500,20
E00041501,22
E00041502,201
E00041503,20
E00041504,30
E00041505,16
E00041506,77
E00041507,74
E00041508,12
E00041509,22
E00041510,33
E00041511,13
E00041512,136
E00041513,59
E00041514,15
E00041515,33
E00041516,23
E00041517,25
E00041518,26
E00041519,19
E00041520,12
E00041521,20
E00041522,15
E00041523,29
E00041524,23
E00041525,24
E00041526,96
E00041527,14
E00041528,14
E00041529,37
E00041530,40
E00041531,6
E00041532,12
E00041533,15
E00041534,15
E00041535,14
E00041536,136
E00041537,173
E00041538,36
E00041539,23
E00041540,34
E00041541,28
E00041542,71
E00041543,15
E00041544,4
E00041545,19
E00041546,18
E00041547,57
E00041548,34
E00041549,20
E00041550,33
E00041551,19
E00041552,79
E00041553,49
E00041554,26
E00041555,24
E00041556,98
E00041557,111
E00041558,20
E00041559,19
E00041560,18
E00041561,33
E00041562,52
E00041563,51
E00041564,12
E00041565,41
E00041566,19
E00041567,10
E00041568,179
E00041569,71
E00041570,19
E00041571,97
E00041572,10
E00041573,21
E00041574,52
E00041575,13
E00041576,172
E00041577,20
E00041578,64
E00041579,53
E00041580,25
E00041581,40
E00041582,28
E00041583,27
E00041584,27
E00041585,18
E00041586,114
E00041587,28
E00041588,4
E00041589,21
E00041590,23
E00041591,25
E00041592,27
E00041593,40
E00041594,39
E00041595,12
E00041596,102
E00041597,74
E00041598,34
E00041599,28
E00041600,42
E00041601,31
E00041602,64
E00041603,118
E00041604,31
E00041605,32
E00041606,21
E00041607,19
E00041608,47
E00041610,463
E00041611,13
E00041612,18
E00041614,157
E00041615,88
E00041616,16
E00041617,253
E00041618,22
E00041619,10
E00041620,24
E00041621,17
E00041622,17
E00041623,16
E00041624,64
E00041625,18
E00041626,16
E00041627,8
E00041629,22
E00041630,12
E00041631,51
E00041632,138
E00041633,16
E00041634,101
E00041635,31
E00041636,1370
E00041637,50
E00041638,70
E00041639,22
E00041640,19
E00041641,17
E00041642,15
E00041643,49
E00041644,32
E00041645,111
E00041646,191
E00041647,178
E00041648,18
E00041649,72
E00041650,15
E00041651,24
E00041652,303
E00041653,47
E00041654,312
E00041655,281
E00041656,92
E00041657,641
E00041658,29
E00041659,17
E00041660,38
E00041661,170
E00041662,17
E00041663,188
E00041665,42
E00041666,17
E00041667,27
E00041668,8
E00041670,46
E00041671,38
E00041672,15
E00041675,191
E00041676,14
E00041677,33
E00041678,11
E00041679,34
E00041680,19
E00041681,60
E00041682,34
E00041683,42
E00041684,122
E00041685,15
E00041686,14
E00041687,23
E00041688,3494
E00041689,93
E00041690,20
E00041691,24
E00041693,15
E00041694,13
E00041695,64
E00041696,25
E00041697,448
E00041698,25
E00041699,10
E00041700,11
E00041701,25
E00041702,19
E00041703,32
E00041704,21
E00041705,61
E00041706,89
E00041707,77
E00041708,3458
E00041709,22
E00041710,13
E00041711,26
E00041712,13
E00041713,18
E00041714,42
E00041715,20
E00041716,22
E00041717,15
E00041718,10
E00041719,18
E00041720,119
