oa11cd,workers
E00041721,32
E00041722,26
E00041723,9
E00041724,15
E00041725,110
E00041726,190
E00041727,15
E00041728,10
E00041729,20
E00041730,5
E00041731,16
E00041732,12
E00041733,12
E00041734,22
E00041735,27
E00041736,12
E00041737,21
E00041738,22
E00041739,13
E00041740,13
E00041741,62
E00041742,9
E00041743,15
E00041744,42
E00041745,42
E00041746,13
E00041747,23
E00041748,110
E00041749,10
E00041750,79
E00041751,20
E00041752,45
E00041753,59
E00041754,66
E00041755,64
E00041756,57
E00041757,34
E00041758,74
E00041759,85
E00041760,24
E00041761,32
E00041762,36
E00041763,178
E00041764,35
E00041765,32
E00041766,18
E00041767,118
E00041768,432
E00041769,19
E00041770,14
E00041771,28
E00041772,83
E00041773,58
E00041774,28
E00041775,53
E00041776,163
E00041777,23
E00041778,37
E00041779,35
E00041780,499
E00041781,267
E00041782,45
E00041783,35
E00041784,22
E00041785,23
E00041786,52
E00041787,21
E00041788,21
E00041789,14
E00041790,14
E00041791,69
E00041792,190
E00041793,27
E00041794,40
E00041795,7
E00041796,19
E00041797,40
E00041798,17
E00041799,126
E00041800,1033
E00041801,82
E00041802,540
E00041803,10
E00041804,26
E00041805,15
E00041806,23
E00041807,11
E00041809,42
E00041810,103
E00041811,70
E00041812,58
E00041813,133
E00041814,19
E00041815,24
E00041816,18
E00041817,49
E00041818,150
E00041819,62
E00041820,12
E00041821,64
E00041822,374
E00041823,22
E00041824,26
E00041825,298
E00041826,26
E00041827,17
E00041828,133
E00041829,79
E00041830,14
E00041831,84
E00041832,57
E00041833,17
E00041834,58
E00041835,17
E00041836,18
E00041837,31
E00041838,21
E00041839,28
E00041840,132
E00041841,19
E00041842,18
E00041843,158
E00041844,30
E00041845,73
E00041846,52
E00041847,21
E00041848,20
E00041849,25
E00041850,206
E00041851,36
E00041852,12
E00041853,19
E00041854,73
E00041855,36
E00041856,98
E00041857,16
E00041858,31
E00041859,36
E00041860,161
E00041861,11
E00041862,12
E00041863,17
E00041864,18
E00041865,42
E00041866,217
E00041867,42
E00041868,30
E00041869,50
E00041870,11
E00041871,29
E00041872,15
E00041873,29
E00041874,48
E00041875,23
E00041876,8
E00041877,148
E00041878,55
E00041879,29
E00041880,16
E00041881,63
E00041882,11
E00041883,35
E00041884,20
E00041885,119
E00041886,9
E00041887,232
E00041888,14189
E00041889,40
E00041890,14
E00041891,17
E00041892,225
E00041893,38
E00041894,294
E00041895,105
E00041896,18
E00041897,18
E00041898,37
E00041899,11
E00041901,8
E00041902,59
E00041903,8
E00041904,13
E00041905,83
E00041906,54
E00041907,198
E00041908,532
E00041909,17
E00041910,8431
E00041911,464
E00041912,104
E00041913,34
E00041914,24
E00041915,65
E00041916,40
E00041917,29
E00041918,38
E00041919,31
E00041920,20
E00041921,14
E00041922,29
E00041923,165
E00041924,66
E00041925,251
E00041926,29
E00041927,24
E00041928,65
E00041929,264
E00041930,26
E00041931,24
E00041932,27
E00041933,15
E00041934,14
E00041935,63
E00041936,21
E00041937,17
E00041938,19
E00041940,16
E00041941,33
E00041942,49
E00041943,14
E00041944,16
E00041945,23
E00041946,218
E00041947,85
E00041948,21
E00041949,20
E00041950,26
E00041951,9
E00041952,24
E00041953,24
E00041954,41
E00041955,21
E00041956,26
E00041957,21
E00041958,13
E00041959,17
E00041960,21
E00041961,51
E00041962,21
E00041963,21
E00041964,63
E00041965,26
E00041966,23
E00041967,61
E00041968,12
E00041969,32
E00041970,17
E00041971,17
E00041972,37
E00041973,114
E00041974,20
E00041975,23
E00041976,124
E00041977,324
E00041978,59
E00041979,38
E00041980,14
E00041981,93
E00041982,13
E00041983,87
E00041984,11
E00041985,34
E00041986,61
E00041987,15
E00041988,19
E00041989,32
E00041990,28
E00041991,106
E00041992,9
E00041993,18
E00041994,25
E00041995,14
E00041996,20
E00041997,39
E00041998,26
E00041999,22
E00042000,16
E00042001,50
E00042002,21
E00042003,17
E00042004,182
E00042005,42
E00042006,319
E00042008,33
E00042009,16
E00042010,20
E00042011,61
E00042012,210
E00042013,22
E00042014,12
E00042015,56
E00042016,17
E00042017,21
E00042018,12
E00042019,9
E00042020,13
E00042021,18
E00042022,48
E00042023,24
E00042024,26
E00042025,10
E00042026,1154
E00042027,16
E00042028,32
E00042029,12
E00042030,43
E00042031,18
E00042032,18
E00042033,11
E00042034,50
E00042035,11
E00042036,14
E00042037,13
E00042038,16
E00042039,10
E00042040,13
E00042041,19
E00165672,155
E00166169,55
E00166170,12
E00166172,23
E00166174,13
E00166175,25
E00166177,361
E00166179,67
E00166180,1159
E00166182,38
E00166183,51
E00166185,47
E00166187,27
E00166188,18
E00166190,72
E00166192,62
E00166193,174
E00166195,9
E00166196,10
E00166198,9
E00166200,19
E00166201,196
E00166203,7
E00166205,1040
E00166206,1127
E00166208,130
E00166209,23
E00166211,290
E00166213,21
E00166214,128
E00166216,18
E00166218,64
E00166219,105
E00166221,18
E00166222,15
E00166224,13
E00170010,86
E00170012,2390
E00170013,17
E00170015,62
E00170016,48
E00170018,9
E00170020,42
E00170021,111
E00170023,8
E00170024,23
E00170026,248
E00170027,124
E00170029,37
E00170030,21
