oa11cd,x,y
E00041377,425583.0,562952.0
E00041435,427216.699,555732.531
E00041745,427897.004,559557.605
E00041432,427856.367,555759.595
E00041742,427932.556,559770.754
E00041433,426996.973,555849.432
E00041743,428341.517,559531.016
E00041430,427040.717,556075.28
E00041740,428523.465,559955.202
E00041431,426934.94,555914.454
E00041741,428285.431,559831.132
E00041978,419690.13,560540.319
E00041979,420044.578,560382.928
E00041806,429034.035,562176.919
E00041887,423869.862,560999.158
E00041438,428179.765,555071.646
E00041748,427522.104,560901.559
E00041807,428955.19,562312.422
E00041439,427950.188,555301.64
E00041749,428326.94,561091.949
E00041885,423885.192,561843.814
E00041884,423947.803,561289.844
E00041883,423403.421,561485.987
E00041803,429462.238,562422.382
E00041882,424096.676,561828.043
E00041616,422668.835,561724.783
E00041697,426792.912,556464.292
E00041800,428828.604,562408.209
E00041617,422294.098,561597.761
E00041696,426875.939,556743.646
E00041801,429599.138,562610.21
E00041880,424366.724,561535.973
E00041614,423131.935,561822.562
E00041695,427040.147,556712.546
E00041615,422847.991,561625.08
E00041694,427354.098,556635.857
E00041612,422975.666,561923.364
E00041693,427166.317,556615.857
E00041610,422359.042,562053.839
E00041691,427507.518,556926.01
E00041611,422539.441,561744.834
E00041690,427470.394,558842.061
E00041889,423333.781,560904.174
E00041809,429110.339,562210.73
E00041888,424578.263,561301.896
E00170029,428021.664,556159.231
E00170026,420023.542,562265.974
E00166180,425754.475,563143.548
E00166174,426502.761,562844.411
E00166170,424632.627,562360.187
E00041618,423029.544,561499.285
E00041699,426964.787,556424.726
E00166201,425205.873,562165.281
E00041619,422679.506,561404.423
E00041698,427381.595,556443.622
E00166196,425090.834,563326.243
E00166188,426205.435,562695.344
E00170018,426721.988,558963.851
E00166192,425219.837,563462.137
E00041536,413921.421,559432.523
E00041446,417716.711,562905.242
E00042036,429363.073,560618.856
E00041537,413662.844,563526.791
E00041447,418226.854,562968.794
E00042037,429934.089,560740.858
E00041534,426383.699,559625.819
E00041444,417241.049,562616.702
E00042034,430165.653,560924.723
E00041535,426293.962,559533.378
E00041445,418101.764,563101.318
E00042035,429800.668,560833.595
E00041532,426590.786,558391.146
E00041442,427979.03,554829.249
E00042032,430001.977,561074.404
E00041533,426531.161,558197.813
E00041443,418997.894,562629.684
E00042033,430367.287,561068.63
E00041530,426204.405,558456.154
E00041440,427909.366,554987.938
E00042030,429440.378,561092.749
E00041531,426672.81,558271.05
E00041441,428161.416,554815.061
E00042031,429766.239,561093.748
E00041856,425676.433,561582.385
E00041906,424333.119,562136.668
E00041987,417663.842,561994.884
E00041538,413814.698,563454.874
E00041448,418502.914,562986.253
E00041857,425521.925,561590.416
E00041907,423981.867,562239.327
E00041986,417997.242,561895.813
E00042038,429542.569,560432.7
E00041539,413657.925,563310.095
E00041449,417949.353,562797.663
E00041854,424925.355,561769.858
E00041904,424048.563,562409.707
E00041985,417873.756,562212.89
E00042039,429012.043,560433.185
E00041905,424176.294,562013.307
E00041984,417322.09,562031.784
E00041852,425260.004,561919.118
E00041902,424311.898,562346.817
E00041983,418235.699,561891.561
E00041853,425051.051,561820.559
E00041903,424254.502,562551.809
E00041982,417055.719,562102.478
E00041716,427390.304,558556.112
E00041626,422812.33,560956.348
E00041797,429045.582,561015.759
E00041850,425647.313,562069.254
E00041981,415604.972,560879.235
E00041717,427080.248,561145.588
E00041627,423034.904,560967.414
E00041796,428803.37,561286.568
E00041851,425178.589,561891.009
E00041901,424450.988,562758.403
E00041980,418001.715,562176.072
E00041714,427682.439,558586.845
E00041795,429310.973,561231.747
E00041715,427509.485,558588.744
E00041625,423098.228,560783.419
E00041794,429190.975,561059.207
E00041712,424358.211,556558.999
E00041622,422840.567,561104.356
E00041793,429317.408,561338.196
E00041713,424782.679,556583.143
E00041623,422612.953,561055.665
E00041792,428865.61,561569.707
E00041710,424570.204,556674.159
E00041620,422950.03,561312.307
E00041791,428416.723,561268.74
E00041711,424195.577,556615.062
E00041621,422675.659,561274.783
E00041790,429457.332,561496.444
E00041858,425349.896,561582.153
E00041908,424288.798,561730.571
E00041989,416894.739,561874.408
E00041859,425223.539,561498.295
E00041909,423885.713,561934.183
E00041988,417832.793,561960.255
E00041718,428784.29,560959.513
E00041719,428934.936,560832.77
E00041629,422780.655,562347.24
E00041366,426561.905,562275.307
E00041367,426183.089,562133.054
E00041364,425443.912,562250.409
E00041363,425983.378,562148.554
E00041369,426894.857,561925.261
E00041546,413593.315,563019.376
E00041547,412479.734,563603.641
E00041544,414692.548,562672.476
E00041545,413133.739,563152.685
E00041542,413478.09,563249.095
E00041543,413425.388,563142.736
E00041540,413700.832,563070.747
E00042040,429114.627,560341.59
E00041541,413272.352,563153.876
E00042041,429288.575,560253.514
E00041866,425390.448,561903.983
E00041956,420609.287,560228.417
E00041548,415000.825,562470.415
E00041867,425440.208,561739.83
E00041957,419337.488,560139.785
E00041549,414335.225,562263.113
E00041864,424853.031,561312.258
E00041865,425155.194,560363.956
E00041955,419374.149,560495.169
E00041862,425053.152,561399.083
E00041952,420355.523,560249.269
E00041863,425139.7,561222.658
E00041953,420155.608,560196.66
E00041726,427112.655,560793.408
E00041676,426893.54,559853.067
E00041416,427638.785,554211.624
E00041860,425622.651,560798.784
E00041677,426895.219,559140.106
E00041417,427847.183,554657.533
E00041496,416407.04,558466.629
E00041861,424781.165,561440.567
E00041951,420586.332,560473.6
E00041724,428704.033,560809.84
E00041414,425578.346,562539.822
E00041495,415214.333,558409.194
E00041725,427984.714,560908.826
E00041675,427359.86,559498.063
