oa11cd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00041378,0,3,1,1,0,4,2,4,1,0,1,0,3,3,2,1,1,1,2,0,5,6,3,8,10,18,4,6,7,8,7,5,4,3,3,1,2,5,4,1,1,4,3,4,2,7,3,4,4,5,6,8,8,1,2,3,5,5,5,7,5,2,4,1,3,4,2,1,1,4,5,5,1,2,1,0,1,1,0,2,2,4,2,2,2,1,2,0,0,0,1
E00041381,2,1,0,3,4,5,0,0,3,3,3,1,0,3,1,3,0,3,2,2,4,1,5,2,1,2,3,5,4,9,5,6,2,5,5,3,1,4,3,4,6,4,3,3,2,3,5,4,3,8,2,0,5,7,1,2,8,6,2,3,2,6,3,4,4,6,3,3,4,5,5,3,2,7,1,3,0,0,3,3,1,1,1,0,0,0,0,1,0,0,1
E00041382,1,1,1,2,0,2,3,0,1,1,0,0,1,0,0,0,1,0,1,2,1,1,5,6,2,0,2,3,7,1,1,4,7,3,4,3,2,4,2,3,2,3,2,3,4,5,0,2,4,2,6,2,3,3,3,4,3,3,5,1,2,4,1,1,2,0,3,2,1,3,0,2,3,2,2,1,2,0,1,1,0,0,0,1,4,0,0,2,0,0,0
E00041383,3,1,4,0,4,1,3,5,2,2,1,3,7,4,1,2,4,2,3,3,1,4,5,16,12,3,5,2,7,2,2,4,4,8,5,7,3,4,8,7,2,1,7,6,5,1,5,7,1,7,7,1,8,3,5,3,7,5,2,8,3,3,2,1,1,2,4,2,1,2,3,5,6,3,3,4,3,1,2,1,3,0,3,0,3,3,1,0,0,0,2
E00041386,9,4,11,10,9,6,5,5,3,5,2,0,4,1,1,2,1,0,0,1,5,6,15,21,29,22,29,28,41,34,30,32,25,30,23,13,13,15,7,7,7,6,8,3,2,3,2,3,2,1,2,3,2,2,1,1,0,2,1,4,5,1,1,1,1,1,2,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
E00166172,9,1,2,0,7,3,4,4,1,2,4,1,5,3,1,1,1,2,0,1,2,2,2,14,14,5,13,9,18,8,10,12,9,14,9,7,8,5,9,6,7,3,2,3,5,5,6,2,1,3,0,1,1,0,0,0,2,5,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
E00166174,4,3,0,1,1,0,3,1,1,0,0,1,1,0,2,0,1,0,1,0,0,8,10,4,9,6,18,11,8,14,7,10,5,9,4,6,2,2,4,5,8,3,4,2,4,2,2,2,1,2,2,1,2,2,1,1,3,2,0,2,1,1,2,3,0,0,1,1,4,0,0,1,1,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0
E00166175,0,1,3,0,2,3,1,2,0,3,2,1,1,2,0,2,1,0,1,0,8,4,5,6,23,14,16,18,22,18,13,6,12,12,3,4,6,4,5,3,4,3,2,3,1,0,2,3,1,1,1,3,3,3,0,0,0,2,1,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00166187,3,4,1,3,3,3,7,3,3,4,3,1,3,2,1,4,1,0,0,1,0,3,2,18,7,17,13,9,7,3,5,12,11,11,3,8,7,1,4,4,8,11,9,3,8,3,3,0,4,3,0,2,2,4,0,1,2,2,0,1,0,1,2,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00166188,5,1,7,1,2,3,1,2,1,2,1,2,1,2,0,0,2,0,0,0,5,2,7,4,8,1,6,1,2,5,4,2,7,6,5,5,2,2,1,4,1,3,2,2,5,0,2,1,2,4,1,1,2,4,2,2,3,1,5,1,5,1,1,1,2,5,1,1,3,2,1,2,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0
E00041363,3,3,1,3,3,0,2,1,0,2,2,3,1,4,1,3,4,3,1,1,1,1,3,5,5,6,1,3,1,2,2,4,3,4,1,1,1,1,2,3,1,2,0,1,2,1,2,4,3,0,3,5,4,1,1,2,1,3,3,9,1,2,1,3,4,2,3,1,4,8,3,1,4,5,0,1,7,2,4,3,2,1,4,1,2,0,0,0,0,3,1
E00041364,12,8,7,13,9,11,10,9,12,9,11,9,6,10,5,16,21,27,34,21,10,11,5,8,3,6,9,9,9,9,7,5,9,6,8,6,7,3,2,6,4,1,4,3,7,9,8,10,2,1,6,4,2,4,2,8,3,3,3,2,4,5,5,4,1,3,6,2,1,2,2,2,1,3,0,1,1,2,2,0,1,1,0,0,0,0,0,0,0,0,3
E00041371,1,3,3,5,3,2,2,3,2,6,4,4,1,6,6,3,5,6,7,4,2,3,2,3,3,5,4,2,4,3,6,4,5,3,2,4,5,7,7,1,3,3,3,5,2,2,4,5,4,1,3,1,6,10,5,3,5,2,5,11,7,1,2,4,3,2,3,1,4,5,4,6,3,5,3,6,2,1,4,2,4,3,1,2,2,1,5,0,0,3,13
