oa11cd,population
E00042492,337
E00042496,349
E00042500,387
E00042502,364
E00042494,292
E00042498,335
E00042499,323
E00042501,263
E00042504,259
E00042506,111
E00042478,359
E00042479,324
E00042507,420
E00042508,230
E00042509,415
E00042517,231
E00042522,303
E00042542,286
E00042543,377
E00042546,268
E00042516,397
E00042521,305
E00042525,345
E00042545,267
E00042523,331
E00042524,252
E00042526,288
E00042527,238
E00042528,302
E00042519,329
E00042539,233
E00042540,258
E00042541,266
E00042544,291
E00042530,303
E00042533,248
E00042534,224
E00042536,260
E00042537,270
E00042513,267
E00042514,284
E00042518,216
E00042520,245
E00042529,239
E00042515,255
E00042531,255
E00042532,273
E00042535,286
E00042538,282
E00042547,393
E00042548,287
E00042566,341
E00042568,231
E00042569,204
E00042570,389
E00042549,363
E00042571,237
E00042572,291
E00042573,241
E00042574,319
E00042575,294
E00042550,331
E00042551,291
E00042552,191
E00042553,332
E00042554,375
E00042555,436
E00042560,330
E00042562,326
E00042563,273
E00042564,303
E00042567,265
E00042556,321
E00042557,271
E00042558,149
E00042559,362
E00042561,239
E00042565,182
E00042597,123
E00042599,161
E00042604,178
E00042605,340
E00042577,249
E00042584,250
E00042594,150
E00042595,80
E00042601,154
E00042609,1010
E00042582,268
E00042606,386
E00042607,384
E00042608,361
E00175584,1141
E00175600,92
E00042579,233
E00042580,1707
E00042583,207
E00175564,800
E00175574,1045
E00042578,341
E00042587,318
E00042588,473
E00042591,247
E00042592,168
E00042593,286
E00042576,349
E00042581,235
E00042585,296
E00042586,516
E00042589,277
E00042590,233
E00042612,189
E00042629,276
E00042630,341
E00042631,223
E00042632,266
E00042635,278
E00042621,264
E00042623,281
E00042627,254
E00042628,377
E00042634,335
E00042610,293
E00042625,274
E00042626,335
E00042633,291
E00042639,200
E00042615,297
E00042619,243
E00042620,293
E00042622,278
E00042624,331
E00042611,366
E00042636,267
E00042637,511
E00042638,244
E00042640,220
E00042613,329
E00042614,306
E00042616,273
E00042617,313
E00042618,207
E00042665,152
E00042669,1576
E00042670,754
E00042673,806
E00175556,300
E00175557,116
E00175588,172
E00042645,513
E00042646,509
E00042661,90
E00042671,119
E00042672,2408
E00175555,371
E00175594,357
E00042641,364
E00042648,312
E00042681,365
E00042682,376
E00042683,272
E00042643,526
E00042644,798
E00042651,347
E00042654,156
E00042663,260
E00042667,176
E00042642,433
E00042649,277
E00042650,352
E00042653,521
E00042655,245
E00042652,207
E00042656,340
E00042657,466
E00042659,429
E00042662,339
E00042647,252
E00042658,364
E00042664,315
E00042666,356
E00042668,282
E00042685,125
E00042688,225
E00042689,347
E00042690,329
E00042691,179
E00042686,271
E00042687,292
E00042702,215
E00042703,246
E00042704,264
E00042705,289
E00042706,364
E00042713,478
E00042717,570
E00042718,263
E00042736,342
E00042707,395
E00042711,221
E00042712,317
E00042735,222
E00042739,321
E00042710,301
E00042725,385
E00042726,301
E00042729,306
E00042714,282
E00042719,306
E00042720,289
E00042722,271
E00042724,368
E00042708,312
E00042709,327
E00042715,301
E00042721,356
E00042727,353
E00042723,325
E00042728,348
E00042730,301
E00042731,339
E00042716,281
E00042732,231
E00042733,592
E00042734,181
E00042737,214
E00042738,224
E00042743,306
E00042750,216
E00042751,105
E00042760,241
E00042765,89
E00042766,266
E00042767,410
E00042740,402
E00042741,324
E00042761,321
E00042763,219
E00042764,396
E00042742,350
E00042753,98
E00042754,268
E00042755,53
E00175582,357
E00042745,448
E00042746,276
E00042747,232
E00042748,215
E00042752,232
E00042756,263
E00042757,248
E00042758,337
E00042759,346
E00042762,255
E00042769,280
E00042770,238
E00042778,206
E00042798,306
E00042800,225
E00042771,252
E00042777,381
E00042796,272
E00042799,174
E00042802,284
E00042768,218
E00042776,338
E00042779,281
E00042797,166
E00042801,335
E00042772,309
E00042773,221
E00042781,217
E00042784,215
E00042794,352
E00042780,287
E00042782,283
E00042783,308
E00042785,238
E00042786,328
E00042774,279
E00042789,281
E00042791,300
E00042792,340
E00042795,344
E00042775,509
E00042787,271
E00042788,279
E00042790,229
