oa11cd,workers
E00042067,5
E00042068,187
E00042082,1014
E00042083,7
E00042084,12
E00042157,11
E00042158,40
E00042159,24
E00042160,3
E00042161,119
E00042162,82
E00042153,8
E00042154,2
E00042155,746
E00042156,220
E00042164,14
E00042165,2
E00042166,11
E00175572,32
E00175591,2146
E00175605,7
E00042144,2
E00042145,1
E00042146,0
E00042147,23
E00042148,1
E00042141,11
E00042143,60
E00042149,1
E00042150,1
E00042140,0
E00042142,2
E00042151,3
E00042152,22
E00042169,18
E00042170,2
E00042173,29
E00042174,104
E00042176,14
E00042177,16
E00042360,3
E00042364,122
E00042391,10
E00042393,40
E00042394,3
E00042363,71
E00042385,5
E00042386,20
E00042387,5
E00042388,128
E00042389,3
E00042390,1
E00042392,37
E00042395,67
E00042396,91
E00042397,905
E00175566,0
E00175567,2
E00175568,15
E00175569,1
E00175570,3
E00175573,4
E00042168,9
E00042171,8
E00042172,3
E00042175,12
E00042178,41
E00175571,950
E00042288,14
E00042289,1
E00042290,52
E00042294,185
E00042322,19
E00042313,16
E00042315,6
E00042316,1
E00042317,24
E00042321,118
E00042293,681
E00042318,6
E00042319,38
E00042320,6
E00042295,606
E00042299,11
E00042300,2
E00042303,17
E00042306,2
E00042296,3
E00042301,8
E00042304,3
E00042307,93
E00042308,1
E00042291,31
E00042297,6
E00042298,36
E00042302,16
E00042305,4
E00042292,1
E00042309,6
E00042310,27
E00042311,21
E00042312,3
E00042314,17
E00042069,13
E00042070,1
E00042071,317
E00042078,23
E00042092,5
E00042904,2
E00042906,5
E00042907,2
E00042908,114
E00042923,28
E00042905,1
E00042909,37
E00042925,108
E00042926,73
E00042928,418
E00042930,8
E00042910,2166
E00042911,351
E00042912,311
E00042913,49
E00042929,13
E00042916,123
E00042919,0
E00042920,2
E00042921,18
E00042924,2
E00042927,8
E00042914,2
E00042915,2
E00042917,37
E00042918,2
E00042922,27
E00042361,163
E00042365,12
E00042399,12
E00042400,296
E00042401,7
E00042366,728
E00042372,299
E00042373,24
E00042374,3
E00042381,4
E00042382,10
E00042706,2
E00042713,104
E00042717,169
E00042718,6
E00042736,21
E00042710,109
E00042725,97
E00042726,1
E00042729,7
E00042708,21
E00042709,22
E00042715,36
E00042721,151
E00042727,41
E00042716,230
E00042732,3
E00042733,7
E00042734,33
E00042737,5
E00042738,4
E00042367,13
E00042368,31
E00042369,3
E00042376,6
E00042377,220
E00042398,101
E00042370,732
E00042371,5269
E00042375,92
E00042378,122
E00042379,70
E00042362,34
E00042380,29
E00042383,1576
E00042384,15
E00042492,17
E00042496,5
E00042500,4
E00042502,8
E00042707,229
E00042711,31
E00042712,929
E00042735,116
E00042739,7
E00042714,21
E00042719,25
E00042720,2
E00042722,47
E00042724,11
E00042723,57
E00042728,61
E00042730,59
E00042731,117
E00042185,74
E00042209,5
E00042210,2
E00042217,6
E00042223,46
E00042180,16
E00042208,3
E00042213,23
E00042220,5
E00042224,2
E00042190,17
E00042197,369
E00042199,7
E00042200,8
E00042206,72
E00042189,1144
E00042198,11
E00042201,124
E00042202,5
E00042207,5407
E00042211,170
E00042205,536
E00042212,4
E00042214,8
E00042215,3
E00042219,3
E00042179,4
E00042203,2
E00042216,37
E00042221,2
E00175589,776
E00175590,1
E00042072,757
E00042073,2
E00042074,1
E00042075,67
E00042076,6
E00042482,190
E00042483,8
E00042487,2
E00042490,10
E00042511,5
E00042485,46
E00042486,34
E00042488,4
E00042493,4
E00042495,3
E00042510,583
E00042480,169
E00042484,18
E00042489,11
E00042512,7
E00042481,20
E00042491,113
E00042503,2
E00042505,2
E00175602,8
E00175603,33
E00175604,1
E00042494,58
E00042498,18
E00042499,4
E00042501,5
E00042504,0
E00042506,1
E00042478,9
E00042479,2
E00042507,4
E00042508,27
E00042509,339
E00042077,10
E00042079,0
E00042080,0
E00042093,3
E00042094,10
E00042096,1
E00042090,16
E00042101,217
E00042103,2
E00042106,5
E00175592,112
E00042081,361
E00042095,6
E00042097,20
E00042099,77
E00042085,113
E00042086,81
E00042091,1
E00042102,4
E00042184,5
E00042195,347
E00175565,92
E00175601,5
E00042182,35
E00042191,267
E00042196,11
E00042218,85
E00042222,4
E00042183,27
E00042186,2
E00042187,6
E00042192,2
E00042225,17
E00042188,41
E00042193,3
E00042194,7
E00042226,27
E00042227,3
E00042402,169
E00042403,28
E00042416,8
E00042417,7
E00042420,4
E00042421,1
E00042407,10
E00042408,22
E00042422,24
E00042423,17
E00042425,24
E00042440,7
E00042454,15
E00042456,3
E00042457,29
E00042459,102
E00042449,2
E00042452,9
E00042458,147
E00042463,319
E00042475,0
E00042445,2
E00042470,52
E00042472,35
E00042473,34
E00042474,16
E00042444,42
E00042451,160
E00042453,75
E00042471,142
E00042476,3
E00042446,12
E00042447,2
E00042448,4
E00042450,120
E00042477,3
E00042612,158
E00042629,7
E00042630,17
E00042631,36
E00042632,6
E00042635,260
E00042621,121
E00042623,3
E00042627,0
E00042628,13
E00042634,14
E00042610,61
E00042625,321
E00042626,119
E00042633,103
E00042639,1
E00042615,25
E00042619,23
E00042620,37
E00042622,20
E00042624,4
E00042611,11
E00042636,41
E00042637,254
E00042638,19
E00042640,745
E00042613,4
E00042614,43
E00042616,2
E00042617,403
E00042618,108
E00042834,2
E00042837,1
E00042845,1
E00042852,4
E00042855,3
E00042228,11
E00042246,0
E00042251,1
E00042255,170
E00042238,5
E00042247,539
E00042256,104
E00042258,2
E00042261,1
E00042229,129
E00042232,10
E00042234,59
E00042257,1
E00042259,33
E00042230,0
E00042252,2
E00042260,1
E00175599,7
E00042236,4
E00042248,8
E00042249,1
E00042250,0
E00042253,15
E00042233,5
E00042235,2
E00042243,2
E00042244,9
E00042254,62
E00042237,0
E00042240,2
E00042241,23
E00042242,8
E00042245,11
E00042087,5
E00042088,2
E00042089,1
E00042100,116
E00042104,95
E00042882,185
E00042888,35
E00042890,2
E00042892,77
E00042881,19
E00042883,78
E00042884,0
E00042885,40
E00042886,2
E00042887,100
E00042876,1
E00042880,7
E00042889,20
E00042891,7
E00042439,559
E00042441,45
E00042461,129
E00042465,97
E00042467,126
E00042442,36
E00042455,15
E00042460,95
E00042462,11
E00042443,211
E00042464,474
E00042466,471
E00042468,815
E00042469,47
E00042641,3
E00042648,113
E00042681,118
E00042682,0
E00042683,6
E00042642,5
E00042649,7
E00042650,77
E00042653,6
E00042655,2
E00042111,40
E00042112,222
E00042127,77
E00042128,37
E00042129,1100
E00042131,201
E00042133,5
E00042412,15
E00042413,50
E00042415,82
E00042429,19
E00042433,35
E00042405,1
E00042406,291
E00042409,88
E00042410,0
E00042430,3
E00042411,12
E00042427,72
E00042428,29
E00042431,3
E00042432,32
E00042414,111
E00042434,5
E00042435,25
E00042436,4
E00042437,66
E00042438,65
E00042404,58
E00042418,132
E00042419,10
E00042424,67
E00042426,178
E00042326,56
E00042328,7
E00042341,9
E00042342,2
E00042353,138
E00042333,17
E00042337,12
E00042338,140
E00042343,6
E00042347,9
E00042324,78
E00042329,3
E00042330,4
E00042334,18
E00042335,1
E00042336,5
E00042325,41
E00042340,2
E00042344,3
E00175596,44
E00175598,214
E00042323,7
E00042339,5
E00042349,102
E00042350,64
E00042345,34
E00042348,0
E00042351,133
E00042352,12
E00042354,4
E00042355,1
E00042356,112
E00042357,85
E00042327,6
E00042331,629
E00042332,16
E00042358,1
E00042359,6
E00042769,20
E00042770,80
E00042778,5
E00042798,7
E00042800,5
E00042771,197
E00042777,0
E00042796,1
E00042799,1
E00042802,5
E00042772,579
E00042773,54
E00042781,4
E00042784,165
E00042794,4
E00042780,1
E00042782,9
E00042783,7
E00042785,17
E00042786,25
E00042774,3
E00042789,5
E00042791,1
E00042792,1
E00042795,123
E00042775,4
E00042787,4
E00042788,7
E00042790,5
E00042793,298
E00042517,96
E00042522,13
E00042542,3
E00042543,91
E00042546,209
E00042516,43
E00042521,7
E00042525,0
E00042545,35
E00042523,0
E00042524,4
E00042526,3
E00042527,3
E00042528,4
E00042519,29
E00042539,32
E00042540,7
E00042541,20
E00042544,1
E00042530,3
E00042533,6
E00042534,116
E00042536,39
E00042537,39
E00042513,15
E00042514,1
E00042518,1
E00042520,1
E00042529,17
E00042515,41
E00042531,2
E00042532,1
E00042535,0
E00042538,2551
E00042582,65
E00042606,7
E00042607,8
E00042608,75
