oa11cd,workers
E00175584,532
E00175600,0
E00042578,42
E00042587,9
E00042588,46
E00042591,10
E00042592,0
E00042593,4
E00042874,40
E00042875,69
E00042899,658
E00042903,4
E00042893,198
E00042894,29
E00042895,5
E00042896,38
E00042897,38
E00042878,50
E00042879,83
E00042898,6
E00042902,123
E00042596,20
E00042598,26
E00042600,300
E00042873,178
E00042877,47
E00042900,11
E00042901,0
E00042665,30
E00042669,197
E00042670,224
E00042673,217
E00175556,526
E00175557,54
E00175588,3
E00042645,488
E00042646,80
E00042661,0
E00042671,2
E00042672,144
E00175555,98
E00175594,1297
E00042643,28
E00042644,365
E00042651,13
E00042654,10
E00042663,1
E00042667,1
E00042652,0
E00042656,28
E00042657,10
E00042659,2
E00042662,4
E00042647,60
E00042658,43
E00042664,51
E00042666,0
E00042668,0
E00042674,46
E00175560,8
E00175563,970
E00175580,273
E00175583,1524
E00042677,2
E00042679,606
E00175578,284
E00175579,1633
E00175593,975
E00175595,0
E00042597,28
E00042599,68
E00042604,12
E00042605,6
E00042577,1
E00042584,26
E00042594,57
E00042595,46
E00042601,1604
E00042609,5179
E00042579,3162
E00042580,11289
E00042583,4308
E00175564,377
E00175574,907
E00042576,4
E00042581,72
E00042585,2
E00042586,99
E00042589,8
E00042590,7
E00042805,138
E00042806,87
E00042823,8
E00042824,7
E00042827,536
E00042828,19
E00042826,1647
E00175551,8215
E00175553,3806
E00175558,2649
E00175561,149
E00042830,3
E00175552,435
E00175559,3182
E00175575,2143
E00175576,858
E00175585,1133
E00042820,438
E00042822,454
E00042825,550
E00042829,539
E00175587,42
E00042685,231
E00042688,57
E00042689,45
E00042690,3
E00042691,65
E00042686,52
E00042687,22
E00042702,115
E00042703,3
E00042704,0
E00042705,25
E00042693,6
E00042694,1
E00042695,9
E00042697,0
E00175554,620
E00175581,48
E00175586,274
E00042110,135
E00042117,653
E00042120,5
E00042121,22
E00042122,2
E00042123,8
E00042124,144
E00042109,65
E00042116,36
E00042130,1
E00042137,9
E00042138,4
E00042139,719
E00042114,685
E00042115,16
E00042125,10
E00042126,1420
E00042132,13
E00042134,270
E00042136,5
E00042107,0
E00042108,25
E00042113,42
E00042118,36
E00042135,41
E00175550,346
E00175562,220
E00042560,83
E00042562,170
E00042563,1
E00042564,2
E00042567,25
E00042556,1733
E00042557,106
E00042558,490
E00042559,21
E00042561,11
E00042565,2
E00042768,40
E00042776,25
E00042779,12
E00042797,6
E00042801,2
E00042044,43
E00042052,24
E00042054,19
E00042055,156
E00042058,25
E00042042,17
E00042050,373
E00042053,1
E00042056,13
E00042057,62
E00042045,2
E00042059,140
E00042065,550
E00175597,115
E00042046,173
E00042047,365
E00042061,57
E00042062,56
E00042064,33
E00042066,4
E00042043,2
E00042048,5
E00042049,9
E00042051,1
E00042547,10
E00042548,62
E00042566,59
E00042568,3
E00042569,5
E00042570,13
E00042549,7
E00042571,44
E00042572,12
E00042573,0
E00042574,0
E00042575,0
E00042740,1
E00042741,3
E00042761,63
E00042763,2
E00042764,1
E00042756,108
E00042757,2
E00042758,68
E00042759,36
E00042762,79
E00042276,41
E00042277,6
E00042282,234
E00042284,10
E00042287,49
E00042262,6
E00042269,23
E00042270,11
E00042278,54
E00042280,90
E00042283,98
E00042271,146
E00042272,271
E00042279,121
E00042285,41
E00042263,103
E00042264,132
E00042265,10
E00042266,49
E00042268,147
E00042274,260
E00042267,63
E00042273,7
E00042275,1
E00042281,29
E00042286,41
E00042803,6
E00042808,6
E00042812,198
E00175577,5715
E00042807,1789
E00042810,11
E00042811,68
E00042814,453
E00042816,1
E00042818,2
E00042819,1
E00042550,3
E00042551,1
E00042552,3
E00042553,4
E00042554,32
E00042555,9
E00042743,656
E00042750,14
E00042751,0
E00042760,358
E00042765,25
E00042766,112
E00042767,857
E00042742,1
E00042753,1
E00042754,33
E00042755,1
E00175582,50
E00042745,146
E00042746,6
E00042747,1
E00042748,1
E00042752,98
E00042832,5
E00042833,61
E00042840,4
E00042841,134
E00042848,1
E00042850,4
E00042839,1
E00042842,3
E00042846,4
E00042867,5
E00042871,5
E00042838,5
E00042844,3
E00042849,119
E00042866,2
E00042869,13
E00042831,193
E00042836,179
E00042843,51
E00042851,110
E00042857,17
E00042863,5
E00042847,0
E00042853,0
E00042859,2
E00042860,7
E00042861,3
E00042835,2
E00042854,184
E00042856,4
E00042858,2
E00042862,1
E00042864,9
E00042865,1
E00042868,5
E00042870,3
E00042872,1
E00043567,536
E00043568,3
E00043569,5
E00043544,7
E00043545,0
E00043573,1
E00043578,1
E00043579,22
E00043549,15
E00043575,2
E00043577,0
E00043546,506
E00043223,185
E00043224,13
E00042973,411
E00042977,122
E00042978,7
E00043206,2148
E00043208,3
E00043216,9
E00166133,0
E00166140,16
E00043226,4435
E00043218,844
E00043220,9
E00043329,2
E00043305,5
E00043341,1
E00043308,5
E00043322,80
E00043320,11
E00043321,44
E00043528,720
E00043531,318
E00043533,1
E00043534,172
E00139821,522
E00139786,474
E00139703,6
E00139704,163
E00139796,3
E00139797,3
