oa11cd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00042044,3,5,0,1,2,1,5,3,2,2,1,1,2,2,2,3,2,0,1,2,8,3,0,1,2,1,5,4,4,5,1,2,4,0,1,2,3,3,3,2,2,2,3,3,3,4,0,1,4,5,4,4,4,5,4,3,4,10,2,4,6,4,6,10,2,1,2,4,2,3,2,4,3,6,5,2,4,1,0,2,1,3,1,1,1,2,0,1,1,0,1
E00042052,8,4,3,4,4,3,3,4,3,2,3,0,2,1,0,1,3,2,1,1,6,6,4,3,3,5,4,4,5,4,5,6,0,7,7,12,5,7,4,5,3,5,3,5,3,4,5,2,3,2,2,1,4,2,3,1,6,3,4,5,3,4,5,3,5,3,5,3,4,3,5,5,6,6,2,1,3,1,1,1,2,6,1,2,3,1,3,0,3,0,2
E00042054,7,7,3,3,3,8,3,7,5,2,3,2,4,6,7,4,4,3,0,2,3,4,4,3,5,2,5,5,3,5,4,5,5,3,5,9,6,6,3,6,4,4,4,4,3,5,3,4,5,4,3,7,2,5,3,9,4,2,3,3,1,6,3,4,1,1,1,2,2,3,2,5,2,0,4,0,0,2,2,1,3,1,3,1,1,0,0,2,1,0,1
E00042055,4,2,4,4,4,5,9,5,5,3,3,4,6,4,1,2,1,4,2,0,3,5,1,0,4,5,6,5,5,4,3,2,5,0,2,3,6,7,1,1,4,5,5,4,4,3,2,5,5,6,1,4,7,5,9,4,5,3,7,5,11,10,5,5,8,4,6,1,4,3,5,5,6,3,2,3,0,1,0,2,3,0,3,0,1,1,3,2,0,0,1
E00042058,2,1,4,1,3,0,1,2,3,3,3,4,3,7,5,0,4,1,3,2,2,3,4,0,3,2,5,1,2,2,0,6,0,3,2,3,2,1,2,3,1,0,2,2,1,0,1,1,4,2,1,1,1,7,0,1,0,1,3,1,0,1,3,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
E00042042,2,3,6,3,9,5,7,5,7,3,8,4,2,7,8,5,8,4,0,4,9,2,3,3,0,3,3,6,4,2,5,3,3,4,3,1,8,7,4,5,4,1,7,3,3,0,6,5,3,3,2,2,6,2,4,4,4,3,4,2,4,5,3,5,4,1,8,3,1,4,1,2,4,1,4,4,0,0,1,2,0,2,0,2,0,0,1,0,2,0,0
E00042050,6,4,2,4,2,2,3,2,7,3,5,4,4,3,1,2,5,3,5,9,8,4,3,1,2,2,4,3,3,3,2,4,2,4,3,3,3,4,5,4,3,2,1,2,2,1,3,8,5,3,7,7,9,6,6,3,5,4,3,5,6,3,5,3,2,5,9,3,4,6,4,6,7,3,3,5,1,3,1,2,6,5,5,2,2,5,4,5,7,7,13
E00042053,4,5,8,6,12,4,5,6,0,9,4,3,7,5,6,3,3,6,2,4,8,2,3,3,6,5,2,4,5,2,5,2,5,1,1,3,4,9,4,4,1,2,6,3,5,6,3,4,3,4,4,6,6,7,0,4,3,0,2,6,2,1,2,2,3,1,1,3,2,0,3,3,1,2,0,0,2,0,2,3,1,0,0,0,1,2,2,0,0,2,0
E00042056,3,1,3,7,5,4,1,2,6,1,3,3,4,4,4,4,1,2,5,0,5,2,1,2,4,3,1,0,2,2,0,1,0,0,2,3,4,2,2,0,0,1,1,1,2,1,4,1,2,1,1,1,1,2,4,3,5,4,2,1,6,5,1,3,8,3,7,6,8,5,2,8,3,2,2,4,7,0,7,8,4,3,2,7,1,6,1,1,1,3,4
E00042057,6,6,9,8,9,8,5,5,12,6,5,6,4,9,10,6,7,4,9,5,10,7,8,5,3,6,4,4,2,3,3,9,7,3,5,9,1,7,8,5,3,4,3,2,3,6,5,1,6,2,5,3,9,8,7,3,3,1,4,6,5,10,1,1,0,6,3,6,3,9,5,1,3,1,0,0,0,1,2,0,3,1,2,1,0,0,0,1,4,0,0
E00042045,6,7,2,2,0,2,0,1,1,4,1,1,1,4,1,0,1,1,2,1,1,3,3,2,4,2,7,5,3,1,1,4,3,3,1,1,2,3,1,2,1,2,3,3,3,2,1,1,0,4,0,4,7,0,3,5,6,3,3,3,4,5,8,3,1,0,2,2,0,1,3,0,2,1,3,1,3,0,3,1,3,0,0,1,0,2,0,0,0,4,4
E00042059,4,4,4,6,8,4,13,8,8,5,4,5,2,5,4,4,3,7,7,7,7,5,3,6,5,14,7,12,8,7,3,7,4,6,4,6,5,6,3,4,3,6,4,6,5,1,5,1,2,6,7,2,2,2,1,4,3,4,5,8,3,6,2,0,1,5,1,5,4,4,1,7,3,2,2,0,1,4,0,0,2,0,1,1,0,1,3,0,0,1,3
E00042065,5,5,9,7,8,6,9,11,5,9,5,8,1,3,6,2,4,5,4,6,8,4,5,7,5,15,5,11,10,7,6,7,6,8,4,6,3,6,5,7,2,4,3,6,6,7,9,6,2,8,3,4,5,4,4,7,3,9,1,2,3,2,0,2,2,0,1,2,1,0,4,4,3,2,2,3,3,0,3,2,1,0,0,0,0,0,0,1,0,0,1
E00175597,15,11,20,10,9,16,13,8,15,13,7,6,4,3,5,5,10,9,6,5,7,10,3,8,6,19,10,25,13,14,12,9,11,11,8,11,11,9,7,8,6,7,7,6,10,2,5,7,7,4,5,6,6,6,14,9,11,5,11,5,5,3,4,3,2,1,0,2,7,7,10,6,4,4,5,5,5,6,0,0,0,1,0,1,1,2,0,2,0,0,1
E00042046,4,5,6,6,8,7,13,13,9,7,7,11,15,8,5,9,4,7,8,7,7,5,2,7,6,2,7,3,5,6,4,6,6,11,0,9,7,2,7,4,4,7,6,6,5,7,7,8,9,7,4,3,2,4,4,5,4,2,6,6,8,2,5,3,1,1,2,6,1,3,5,3,2,1,3,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
E00042047,9,5,8,9,8,10,9,12,10,6,9,6,5,6,8,9,3,3,5,3,6,3,6,7,4,11,5,5,2,3,5,6,6,6,5,2,5,7,6,6,4,6,2,3,2,2,5,6,2,7,5,3,1,0,1,3,1,4,2,5,6,2,4,3,2,2,2,1,3,1,1,3,0,0,1,0,0,2,0,1,1,1,1,1,1,0,0,0,0,0,0
E00042061,8,15,9,11,4,7,16,7,13,11,9,15,10,7,10,8,4,8,8,6,10,10,12,10,8,9,11,16,10,9,14,13,10,14,8,8,8,8,8,7,7,9,8,5,9,6,10,8,5,7,2,2,5,2,4,3,4,2,3,5,4,4,3,6,3,0,1,2,3,2,2,1,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
E00042062,6,18,2,13,10,17,10,9,21,11,17,12,19,15,9,10,14,11,11,10,12,8,6,7,8,10,12,14,10,10,15,13,13,11,12,12,10,13,10,7,8,9,6,8,5,9,15,10,3,7,6,6,1,4,5,3,3,2,0,2,1,4,4,3,2,2,1,3,1,1,2,0,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3
E00042064,6,4,2,9,5,6,6,7,5,4,5,3,1,6,3,3,3,4,5,0,1,2,4,3,2,7,4,6,2,5,7,3,1,5,6,6,4,6,3,4,3,3,2,2,4,3,7,0,1,2,4,4,6,7,4,1,1,2,1,3,3,5,3,2,3,3,1,4,2,2,3,4,2,1,2,1,5,4,0,1,2,1,0,1,1,1,1,2,1,1,1
E00042066,1,6,0,2,2,1,2,2,4,1,4,3,1,4,1,1,1,0,3,5,2,4,2,3,2,2,1,2,3,0,0,0,1,2,1,2,0,7,1,1,3,2,2,3,1,5,1,1,1,2,3,1,2,2,0,1,2,2,1,1,1,4,2,3,1,1,3,2,2,1,2,6,1,3,3,2,4,5,3,4,4,1,2,1,0,2,1,0,1,0,3
E00042043,1,1,2,4,3,3,1,6,6,1,3,3,1,1,3,3,4,0,3,4,2,5,4,4,4,2,3,3,12,6,3,6,4,5,3,4,3,4,6,5,3,4,5,7,1,2,4,2,5,6,3,7,8,5,5,3,8,6,1,5,5,6,5,2,5,2,6,2,6,2,4,3,2,3,2,5,2,0,1,2,0,1,0,2,2,0,0,1,0,0,2
E00042048,2,2,1,2,6,1,1,6,3,4,9,0,4,4,3,4,9,1,6,5,3,1,2,3,2,7,10,3,1,3,0,4,5,6,3,3,1,1,7,4,0,5,3,2,1,9,8,5,6,3,2,8,5,3,5,6,9,6,10,7,6,4,9,5,4,4,6,2,4,9,4,5,1,4,3,4,3,3,1,1,3,1,1,4,1,2,2,5,2,2,1
E00042049,2,2,5,5,3,3,5,6,5,3,4,1,1,6,5,2,2,3,2,5,6,2,3,5,3,5,4,3,5,4,11,7,7,3,2,3,0,4,5,2,6,2,0,0,1,4,3,3,4,7,5,5,7,6,4,6,6,11,7,4,0,2,8,5,10,4,3,1,8,4,3,8,5,1,3,5,1,1,3,3,5,1,1,1,2,2,1,0,2,2,2
E00042051,3,3,2,3,5,2,1,7,4,1,8,3,3,2,5,2,3,2,5,3,3,5,5,0,2,5,2,3,6,3,3,6,9,4,3,2,3,2,3,2,7,5,4,3,6,3,3,3,5,5,4,3,5,1,4,7,3,5,6,3,8,10,2,3,2,5,4,9,5,2,2,2,2,2,1,6,0,3,3,4,2,4,3,0,4,2,3,3,1,1,17
E00042069,4,3,4,0,4,2,5,8,9,5,6,5,6,6,4,4,4,7,4,2,1,2,2,1,6,5,7,4,3,1,3,0,4,6,3,6,6,1,5,4,9,7,6,4,3,3,2,2,2,3,5,3,3,4,3,4,6,1,3,4,5,5,10,7,6,8,4,5,5,8,5,2,3,2,5,1,4,1,1,5,1,2,0,1,1,1,1,1,1,0,2
E00042070,5,3,4,3,2,5,4,2,3,0,4,3,4,2,1,1,2,0,2,3,1,3,4,1,4,4,1,4,6,4,2,3,3,3,4,2,3,4,3,1,5,2,4,4,1,5,1,0,0,0,3,8,4,7,1,2,8,4,10,7,5,4,4,3,2,3,2,6,6,2,3,3,2,1,3,0,0,1,1,1,2,0,1,1,1,2,1,2,1,1,1
E00042071,3,2,2,3,2,3,0,1,3,1,1,4,2,2,2,4,0,2,3,0,1,3,1,4,4,2,3,7,5,1,2,1,2,3,2,2,1,8,2,3,2,1,2,2,6,3,2,4,4,1,1,3,5,4,5,3,3,5,5,5,4,5,3,7,3,2,8,5,5,2,6,3,4,2,3,0,0,1,1,0,0,2,2,0,0,0,1,0,0,0,0
E00042078,3,1,5,1,3,2,0,1,1,2,4,4,5,2,2,3,4,1,2,2,4,0,3,0,6,5,4,4,2,2,2,5,1,1,3,2,2,6,4,6,1,5,0,5,4,4,8,2,3,4,4,3,4,3,3,1,3,2,6,5,4,4,3,0,6,2,3,1,2,4,5,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0
E00042092,3,4,7,1,4,4,5,0,2,1,2,1,1,1,0,4,3,2,4,4,7,7,2,4,1,6,8,5,5,3,4,5,4,2,2,6,4,7,2,11,3,2,4,4,3,6,1,1,4,10,5,5,5,4,2,5,5,5,3,3,3,8,3,3,3,2,6,6,1,4,3,7,1,2,3,5,2,0,3,1,1,1,2,0,0,0,0,0,0,0,0
E00042067,2,2,3,4,6,4,2,7,7,3,7,8,2,7,6,3,3,2,4,3,3,0,3,3,2,1,5,4,4,6,7,3,4,3,2,4,1,4,13,9,1,1,2,9,4,4,8,7,1,5,2,5,4,3,3,5,1,9,1,7,5,6,8,8,2,0,2,4,6,4,4,1,3,2,2,2,1,3,2,0,3,1,0,0,2,2,1,2,0,0,1
E00042068,6,2,6,2,3,7,6,5,4,11,5,7,6,6,5,3,3,2,2,0,5,2,1,3,2,5,5,5,3,5,3,4,4,6,3,10,4,12,4,4,1,6,1,3,3,5,5,3,5,7,0,2,2,4,2,7,7,4,4,5,4,4,5,6,3,3,8,7,2,7,2,4,3,1,2,1,1,2,0,1,2,0,0,1,0,0,0,1,0,1,0
E00042082,1,2,2,1,1,6,0,4,3,5,7,3,4,0,1,0,3,2,1,2,0,4,3,4,1,4,6,0,3,2,4,3,3,2,3,2,4,2,5,3,3,1,2,1,3,5,5,4,4,4,0,4,2,3,2,3,5,2,4,6,12,8,6,12,5,4,6,2,4,4,2,2,3,2,1,3,4,3,3,3,1,1,1,3,4,0,2,6,0,6,8
E00042083,3,2,5,2,2,5,2,5,5,6,2,2,3,1,3,5,3,4,4,2,0,3,0,3,3,3,3,6,4,3,3,2,4,2,0,0,2,3,2,3,0,2,4,5,2,5,5,1,1,2,3,5,6,6,3,6,2,7,5,6,5,7,3,5,5,5,4,8,8,11,4,3,3,3,4,1,1,2,2,0,1,1,0,0,1,0,1,0,4,0,0
E00042084,1,1,2,8,0,4,3,3,0,3,2,1,0,2,0,1,1,1,1,2,2,2,0,0,2,4,4,5,0,3,4,4,3,7,4,2,4,4,6,6,2,1,1,3,6,1,3,1,2,1,0,4,2,3,2,1,3,4,6,4,3,6,3,6,6,7,3,1,2,4,2,2,3,0,1,2,1,2,2,3,0,1,1,0,0,1,0,0,0,0,0
E00042072,0,6,3,3,5,5,5,4,3,4,6,1,2,5,5,3,6,4,5,5,5,4,5,4,2,0,4,4,4,3,5,4,1,2,0,2,3,2,3,2,2,7,4,3,1,5,7,3,6,2,4,4,5,3,3,5,0,7,4,1,4,0,3,5,5,0,2,4,6,4,4,4,0,1,1,3,1,0,3,1,1,0,2,2,1,2,1,0,1,0,1
E00042073,11,6,8,8,5,12,15,6,9,8,6,3,3,6,7,7,1,6,5,6,4,5,6,3,4,6,8,3,5,5,5,6,6,5,4,7,3,2,0,4,3,3,1,3,2,1,3,5,5,1,5,6,2,2,10,5,4,4,4,2,6,2,2,6,2,2,2,1,2,2,0,2,4,1,3,0,2,0,0,1,1,3,1,3,2,1,1,0,0,1,1
E00042074,1,3,9,3,3,9,4,6,0,5,5,7,3,6,4,5,3,5,6,3,5,7,4,2,1,0,2,1,2,3,4,7,3,2,4,6,3,1,3,4,2,3,4,2,4,2,6,1,3,7,2,5,2,3,2,2,4,1,2,0,1,1,1,1,0,5,2,3,2,4,1,4,0,1,1,0,0,0,0,2,2,0,1,0,1,0,0,1,0,1,1
E00042075,6,10,7,11,12,8,4,13,5,15,18,6,12,7,3,9,8,3,6,3,10,6,3,3,3,8,5,4,4,4,3,3,4,5,7,6,8,6,5,4,4,3,2,4,5,2,9,5,2,7,3,4,6,5,3,3,3,1,3,2,3,2,4,2,2,0,2,2,3,2,1,3,1,3,2,0,1,1,1,0,0,0,0,0,0,0,0,2,1,0,1
E00042076,8,4,5,6,5,6,5,8,9,3,5,8,8,4,7,8,1,7,7,10,6,3,5,3,6,5,4,7,5,2,5,6,7,2,3,3,4,3,4,1,3,1,4,3,1,8,1,5,1,10,2,5,3,5,6,3,1,2,4,5,3,2,2,1,1,4,4,0,0,1,3,0,5,1,1,1,3,2,2,1,3,2,4,1,1,2,1,0,2,0,0
E00042077,1,3,2,3,2,1,2,2,5,1,2,1,1,0,1,3,5,2,3,1,1,1,2,1,1,5,0,3,5,3,2,2,5,3,2,2,2,0,3,0,1,2,3,2,1,1,2,2,4,3,1,1,6,3,6,3,5,4,6,7,2,4,4,1,2,3,2,2,2,4,2,3,2,5,6,1,1,2,2,1,2,1,0,1,1,2,0,0,0,3,0
E00042079,3,2,0,4,0,1,1,4,1,0,2,0,1,0,3,1,1,0,4,0,7,2,0,3,3,5,2,4,6,6,2,3,1,1,0,2,0,0,1,2,1,4,2,4,2,2,2,6,1,4,5,4,1,0,2,0,2,7,8,5,3,3,2,4,2,4,5,9,4,3,1,4,5,2,3,3,1,3,2,1,5,1,2,2,4,1,0,1,0,0,0
E00042080,1,2,3,4,4,3,3,0,0,0,1,5,2,1,3,3,4,0,3,2,7,3,1,0,4,3,4,6,4,3,2,4,0,0,4,1,2,1,2,3,1,2,1,2,0,2,2,4,6,1,4,3,1,2,9,2,8,6,5,1,7,2,2,4,4,1,2,2,9,2,1,5,3,4,3,3,1,1,2,2,0,3,2,1,2,3,0,0,0,2,2
E00042093,5,4,1,4,2,1,3,2,1,4,0,3,0,4,0,0,0,1,2,0,1,2,5,2,2,1,5,4,4,4,0,3,4,2,2,5,2,0,2,2,0,2,1,3,4,1,5,1,1,3,2,5,3,8,1,5,4,3,3,9,1,1,5,2,5,2,4,3,4,5,8,1,2,2,3,2,2,3,1,2,1,6,2,3,0,0,0,3,0,0,1
E00042094,2,3,2,0,2,4,2,2,0,5,1,1,0,2,1,1,1,0,1,1,0,2,4,0,0,2,5,2,1,3,5,3,2,1,1,2,3,6,0,2,3,3,5,0,4,0,1,4,1,3,1,2,1,3,6,5,2,3,4,3,4,9,6,2,1,6,4,4,6,3,7,2,5,1,2,2,5,0,0,0,1,0,1,0,0,5,3,0,2,0,0
E00042096,2,2,2,2,1,2,1,3,0,1,2,1,1,2,1,2,2,1,2,1,0,2,0,2,2,2,3,4,4,3,2,0,2,2,2,1,3,4,2,0,1,3,3,2,2,1,0,2,2,1,4,3,3,1,9,4,3,6,2,0,6,2,10,3,7,4,6,3,5,8,3,2,1,6,3,7,2,3,1,3,1,2,3,4,0,3,0,2,2,0,5
E00042090,5,5,2,4,5,3,4,7,6,0,4,7,4,2,8,3,5,3,4,5,1,3,2,6,3,5,3,1,2,3,3,8,5,3,6,2,2,2,6,4,3,5,3,2,3,3,1,3,2,4,3,6,3,1,0,8,4,8,6,1,2,5,6,2,2,1,1,3,2,7,3,6,0,5,1,2,3,5,0,1,2,2,1,0,1,0,2,2,0,2,0
E00042101,8,6,10,2,4,2,3,4,3,1,4,2,1,2,4,3,1,1,3,2,3,2,3,7,4,11,11,9,9,3,4,8,4,6,2,7,4,6,4,0,3,0,3,3,2,3,4,2,3,2,1,0,1,3,5,7,7,6,5,5,5,3,1,2,5,5,1,3,2,8,3,3,2,1,0,4,0,3,0,1,2,1,1,2,1,0,2,3,2,2,3
E00042103,1,2,4,8,5,5,5,5,8,4,5,3,6,5,3,4,4,6,6,3,1,4,0,2,2,2,9,10,9,10,5,7,5,7,4,1,4,0,3,5,3,6,2,2,2,5,8,2,2,3,5,4,2,5,8,10,10,4,3,11,10,5,5,6,1,1,5,2,0,3,2,2,6,2,4,4,0,1,1,3,0,1,1,1,0,0,2,0,3,1,1
E00042106,3,6,1,7,8,7,5,6,6,5,7,8,12,6,11,5,10,7,8,5,3,8,4,5,4,3,4,4,6,4,3,2,4,5,4,5,6,7,3,2,2,2,6,2,6,3,7,7,3,5,2,0,3,2,7,3,6,3,3,4,3,1,0,1,3,2,3,2,1,1,4,4,4,2,1,0,2,2,2,0,3,1,0,1,2,0,1,0,0,1,1
E00175592,0,4,6,8,4,5,6,5,3,2,6,7,6,5,2,5,1,3,2,3,1,2,1,1,2,4,2,2,4,6,5,5,6,9,8,6,5,4,4,1,4,3,8,3,4,5,4,5,7,5,7,3,4,4,3,14,9,6,5,5,5,7,6,6,10,4,5,6,4,5,2,4,5,3,7,4,2,1,3,7,2,3,2,2,0,0,1,1,0,1,2
E00042081,12,16,14,12,8,24,14,11,15,11,14,6,12,10,6,2,8,7,7,6,6,8,7,8,6,11,18,7,11,11,8,9,16,4,14,7,6,11,11,11,5,5,12,6,9,9,6,10,8,9,8,7,7,12,4,6,7,7,5,9,7,4,7,6,8,3,6,2,2,2,2,3,2,0,1,0,0,0,1,0,0,0,0,1,1,0,3,0,0,0,0
E00042095,2,1,7,1,5,3,5,4,7,2,3,2,4,1,3,1,2,1,3,3,2,1,0,2,2,4,5,3,6,4,1,3,3,2,3,5,5,3,1,2,2,1,2,3,4,5,2,3,3,3,4,1,2,5,3,3,2,3,1,3,4,4,4,8,4,3,1,4,5,1,4,2,6,1,1,3,5,7,3,3,2,1,0,3,2,2,1,1,0,0,3
