oa11cd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00042097,2,1,1,4,2,4,5,2,5,9,2,4,5,4,4,1,1,3,1,2,5,1,6,3,5,2,3,6,5,1,3,1,3,6,9,2,7,0,2,2,0,2,4,11,3,5,7,6,2,3,2,4,6,2,4,2,5,6,7,3,4,4,3,3,5,11,6,1,5,3,5,9,5,2,3,3,6,2,8,5,4,3,5,2,5,3,2,1,1,3,9
E00042099,4,1,2,3,5,8,4,4,8,6,5,7,6,5,7,4,6,4,4,4,8,3,2,3,2,3,4,6,3,3,6,4,5,4,5,2,5,3,4,6,0,2,3,5,2,5,2,3,2,4,3,4,2,3,5,3,4,2,5,4,5,6,6,2,4,0,1,2,1,1,2,1,4,5,1,3,0,4,2,4,3,0,1,1,2,0,0,2,0,0,1
E00042085,2,2,2,1,2,2,3,3,3,3,2,5,3,4,1,3,1,4,2,2,3,2,3,1,1,1,0,1,4,1,1,2,4,1,5,4,2,2,2,4,2,1,2,7,4,0,2,4,0,1,1,5,2,9,7,3,4,0,4,2,4,5,2,4,3,2,2,2,4,1,7,2,3,2,5,2,2,0,3,2,4,2,3,2,5,0,1,0,0,4,5
E00042086,4,4,5,1,8,6,8,4,4,3,3,9,3,4,6,4,7,7,10,7,11,4,4,2,2,3,5,1,3,3,3,4,1,5,4,2,2,4,1,4,3,2,3,4,5,7,3,8,3,5,4,8,9,5,6,2,1,8,4,3,2,1,2,5,3,6,6,6,3,8,2,5,4,1,3,1,1,1,3,0,1,2,0,1,1,0,0,0,0,0,1
E00042091,2,3,5,5,5,6,7,5,7,3,6,12,9,6,6,4,7,5,7,4,4,3,5,4,3,2,4,3,4,4,3,4,4,3,6,5,7,8,4,3,2,4,4,2,5,7,3,8,4,3,4,4,5,4,6,4,3,5,2,5,4,2,2,2,3,0,5,2,3,5,3,5,3,0,1,0,0,0,1,1,2,0,1,3,1,0,0,0,1,0,0
E00042102,3,3,6,9,3,13,9,8,18,8,7,8,13,9,8,10,8,7,8,7,3,7,4,4,4,3,3,1,8,5,6,2,6,4,3,11,13,8,5,4,6,1,6,9,3,4,5,3,8,11,7,9,5,8,7,5,3,3,2,1,0,5,5,4,1,1,1,6,2,2,4,4,2,0,3,1,1,0,1,1,1,1,2,0,0,0,2,1,0,0,1
E00042087,6,3,3,6,10,11,5,7,11,8,3,6,4,6,2,6,2,1,3,1,8,2,2,5,6,4,6,7,2,3,3,6,4,8,3,6,4,4,6,2,0,7,4,5,3,4,6,5,4,1,4,3,4,2,2,1,4,4,2,0,3,1,2,6,2,4,3,2,1,1,0,1,2,3,3,2,1,0,1,1,0,0,0,1,0,0,1,1,2,0,0
E00042088,4,7,7,3,6,1,4,6,7,2,5,3,7,7,3,2,5,1,1,2,2,2,1,3,3,4,3,8,5,7,4,5,6,1,4,6,4,8,7,8,1,7,5,3,3,2,2,7,1,6,4,4,5,4,4,4,1,4,7,3,1,5,3,2,4,2,1,3,6,0,0,3,0,1,2,3,0,1,1,1,1,2,0,0,1,1,0,0,1,1,4
E00042089,0,2,1,1,1,1,2,0,2,1,4,0,4,0,4,0,3,2,3,1,0,0,1,1,2,3,1,1,1,1,3,2,1,1,2,3,2,2,3,2,4,2,3,4,1,1,3,2,0,1,2,2,2,1,2,2,1,6,4,3,4,2,3,2,1,4,2,1,4,6,7,1,2,1,3,2,2,3,1,5,0,0,1,1,2,0,3,0,2,0,0
E00042100,3,6,3,5,2,3,3,4,2,4,2,0,3,2,2,1,6,0,1,0,0,5,0,1,2,6,6,3,3,2,2,7,1,3,5,1,1,1,3,3,5,2,3,7,2,4,5,6,4,4,1,1,3,1,3,4,4,3,7,2,5,4,6,0,4,1,6,7,4,2,4,4,5,1,3,2,4,5,2,1,5,3,3,2,2,3,2,2,1,7,14
E00042104,9,14,6,9,9,11,12,15,15,11,15,13,10,7,9,11,5,12,9,4,4,11,8,7,8,11,10,7,11,11,7,13,3,7,9,13,10,9,9,10,7,9,15,7,6,3,6,10,8,8,6,6,5,5,8,5,5,2,9,4,5,2,8,6,2,7,3,3,2,2,1,1,1,1,0,4,3,0,2,3,3,0,0,0,1,0,0,1,0,0,1
E00042110,7,1,2,3,1,1,2,2,3,1,3,3,0,6,0,2,2,0,3,3,4,6,6,4,1,10,7,5,5,5,6,6,3,1,3,2,4,3,3,2,0,5,3,4,2,4,3,3,1,8,3,5,8,3,4,3,1,2,2,1,4,1,3,6,1,2,0,1,1,0,1,1,1,2,0,2,0,0,1,4,2,0,0,1,0,1,1,0,0,0,0
E00042117,3,0,1,0,0,2,0,1,4,1,0,1,0,2,0,1,0,0,1,3,0,2,8,2,6,9,14,18,9,11,6,5,6,5,3,3,1,2,3,3,2,2,3,2,0,4,6,4,3,6,5,1,2,5,5,5,0,3,1,0,2,2,2,2,1,2,4,1,3,2,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
E00042120,7,7,8,6,4,7,9,5,6,5,6,6,4,2,2,3,3,6,3,2,9,4,11,3,8,6,5,7,7,4,2,6,10,1,5,5,4,3,6,1,4,2,3,6,5,3,0,4,2,6,6,10,3,5,2,5,4,2,3,4,3,3,2,1,1,3,1,2,0,1,4,0,2,2,3,2,1,0,0,2,0,2,0,0,0,0,1,0,0,0,0
E00042121,1,2,3,2,1,2,4,4,4,1,2,0,6,7,4,2,2,4,3,3,7,2,5,6,3,7,9,10,4,2,4,6,3,3,5,2,2,5,2,1,4,2,5,3,6,7,2,4,2,5,6,1,2,5,1,1,3,5,3,5,5,5,6,8,2,2,5,2,2,4,1,0,2,0,0,0,0,1,0,1,1,0,2,0,0,0,1,0,1,0,0
E00042122,10,2,2,4,0,1,2,6,3,3,8,3,9,3,5,3,0,2,2,7,7,13,4,4,9,6,4,8,6,8,7,7,6,5,5,4,3,4,5,2,5,4,3,1,4,3,4,2,2,3,6,4,4,2,3,1,5,2,7,0,5,8,3,4,1,0,1,3,1,2,2,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
E00042123,4,2,4,1,4,1,6,0,2,3,2,2,0,1,1,2,0,1,0,0,4,0,1,5,6,3,8,8,5,6,4,4,4,1,3,1,6,8,0,4,2,3,5,6,1,4,3,3,3,3,3,3,3,2,2,3,4,3,5,5,1,3,2,2,7,4,1,4,3,3,2,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
E00042124,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,5,4,5,3,0,7,5,4,13,9,2,7,4,4,4,2,2,4,2,2,1,2,2,1,6,1,2,1,1,4,6,4,2,2,7,3,3,4,4,1,0,3,2,2,3,1,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
E00042109,1,5,2,2,5,2,3,5,3,0,5,0,2,2,1,2,1,1,0,3,1,3,2,2,1,3,5,5,4,2,6,1,5,5,1,4,3,1,3,2,1,1,2,2,4,2,2,1,6,4,2,6,3,3,3,4,8,3,1,5,5,3,4,3,1,4,4,3,3,7,2,4,1,2,4,4,6,3,5,4,1,1,5,1,0,0,1,0,1,0,4
E00042116,2,4,5,2,0,2,2,1,1,0,3,4,2,2,1,2,2,4,2,1,3,1,2,2,1,1,5,5,4,7,5,3,3,7,3,4,9,5,6,3,6,6,4,5,2,3,2,4,3,5,2,6,4,3,5,1,6,9,2,5,8,5,2,6,7,4,3,2,1,2,4,3,2,4,0,1,0,1,1,3,0,2,1,1,1,1,0,0,0,0,0
