oa11cd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00042044,4,2,6,1,2,1,1,6,3,2,2,1,1,2,2,3,2,2,0,1,3,6,2,1,2,1,0,4,4,3,3,1,2,4,2,1,3,3,2,4,2,3,3,4,3,4,6,0,2,3,4,2,4,5,5,3,3,4,8,1,3,6,4,6,10,4,2,2,3,1,5,2,3,3,5,2,3,4,1,0,1,1,4,1,1,1,2,0,1,1,1
E00042052,7,8,3,3,3,3,2,3,1,2,2,3,0,2,1,1,1,4,2,1,5,6,8,4,3,4,7,5,5,4,5,5,9,0,6,7,12,4,5,3,3,2,4,3,6,6,4,4,3,4,3,2,1,5,2,2,2,4,3,6,6,4,4,5,1,4,1,4,3,4,3,5,5,5,6,0,2,2,1,1,1,3,5,0,0,1,1,2,0,0,1
E00042054,3,6,6,6,2,4,6,4,6,4,4,5,2,2,6,5,3,5,4,1,1,5,3,4,3,7,4,7,4,6,3,3,3,7,3,2,6,8,9,4,6,2,4,4,4,1,3,3,4,7,4,3,6,3,4,3,9,3,3,1,2,2,7,1,7,1,1,1,3,2,4,2,4,2,0,3,0,1,3,2,3,2,1,3,1,1,0,0,1,1,2
E00042055,2,2,2,3,5,7,6,8,7,3,4,1,3,4,5,3,2,0,3,1,0,1,3,2,0,3,6,5,4,6,2,4,3,5,1,3,1,5,5,1,2,3,4,6,4,5,3,3,4,3,4,1,4,6,6,9,5,6,3,7,5,12,11,6,4,7,3,5,1,4,5,5,6,5,4,1,1,0,1,1,2,2,0,3,1,1,1,2,0,0,0
E00042058,2,2,1,1,1,2,0,2,3,3,2,2,4,4,6,4,0,4,1,2,6,0,4,4,0,3,0,3,1,2,4,1,5,2,2,1,3,2,2,0,1,1,0,2,0,3,0,2,1,3,1,1,1,0,7,0,1,0,1,3,2,0,2,3,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,2,0,1,1,0,0,0,1,0,0,1
E00042042,2,2,6,9,6,8,5,7,6,12,5,9,4,3,6,6,7,6,4,0,5,8,2,2,2,1,4,1,7,5,1,4,4,2,3,3,3,7,9,4,4,1,0,6,3,4,0,5,5,3,4,1,2,6,3,4,3,4,4,4,2,3,2,3,6,4,1,8,3,1,4,1,2,4,1,4,3,0,0,1,2,0,3,1,2,0,1,1,0,1,1
E00042050,3,5,5,1,6,2,3,3,2,6,4,4,4,4,4,1,3,4,3,5,8,7,2,1,0,3,3,5,3,4,3,2,6,3,4,2,2,3,4,6,3,2,3,0,2,1,1,4,7,6,2,6,7,9,6,4,3,5,4,2,5,7,5,5,4,3,4,6,2,4,6,5,6,7,3,4,5,2,3,2,1,5,6,4,3,4,3,3,4,8,16
E00042053,10,7,11,13,10,12,5,10,7,3,10,6,4,7,6,7,1,4,6,3,4,5,3,5,5,8,5,4,6,4,3,5,5,5,2,3,4,4,8,4,3,2,2,6,4,3,3,5,3,3,4,6,6,4,7,0,5,3,0,3,7,4,1,1,2,3,2,1,1,2,0,3,2,1,2,0,0,2,0,2,3,1,0,1,0,0,1,2,0,2,0
E00042056,2,1,1,2,6,3,3,0,3,6,1,4,3,4,5,4,3,1,1,5,1,5,2,1,1,4,2,1,0,2,2,0,0,0,1,3,5,5,2,1,0,3,2,3,0,1,2,5,2,2,1,1,2,0,2,4,1,3,5,1,1,3,3,3,2,9,4,7,6,9,5,1,5,3,3,2,2,6,3,10,8,5,4,3,4,1,5,0,0,1,9
E00042057,4,4,3,9,8,12,8,3,5,11,7,6,6,3,8,9,6,8,5,9,7,8,7,3,5,3,5,4,4,2,4,5,8,6,3,4,7,1,5,7,5,2,4,4,2,4,7,4,1,5,2,5,4,9,8,6,3,3,1,4,7,6,8,1,1,0,6,6,6,3,9,5,2,3,0,1,2,0,1,2,0,3,2,2,1,0,0,0,0,5,0
E00042045,1,6,6,1,2,0,3,0,2,2,3,1,1,1,4,2,0,2,0,1,1,1,2,3,0,6,4,8,5,3,2,3,5,3,2,1,1,4,3,2,1,1,2,3,2,2,2,1,1,0,4,2,4,5,2,3,5,8,3,3,3,3,2,6,1,2,1,2,2,0,1,3,0,1,0,2,2,3,0,3,1,3,0,0,2,0,3,0,0,0,4
E00042059,3,3,5,6,11,7,2,11,7,8,2,6,6,2,4,3,7,3,5,7,8,9,8,6,8,5,13,7,11,11,4,3,6,5,4,5,4,3,3,4,4,3,7,6,5,5,1,6,1,2,5,9,3,2,1,1,4,2,4,6,6,3,5,2,1,0,4,1,5,2,4,3,8,2,2,3,0,2,5,0,0,2,0,1,1,0,1,3,1,0,2
E00042065,7,6,8,8,7,8,7,9,11,8,7,6,8,4,5,6,5,6,6,6,6,6,4,3,7,8,20,9,13,10,4,7,9,5,10,5,8,6,6,4,7,5,5,4,5,6,7,9,5,2,7,5,3,6,3,4,8,3,9,2,2,2,1,0,3,2,0,1,2,0,1,2,3,4,3,2,3,2,0,2,2,1,0,0,0,0,0,0,1,0,1
E00175597,15,17,8,18,9,10,16,16,10,16,9,8,7,5,5,7,6,10,11,6,4,7,8,3,5,14,20,14,25,16,12,16,9,8,11,10,10,11,9,7,10,6,7,8,7,10,5,7,8,9,4,3,4,6,6,18,9,10,6,11,3,5,5,5,3,3,2,2,2,7,8,8,4,4,5,4,5,6,4,0,0,0,0,1,1,1,2,0,2,0,1
E00042046,7,4,6,5,7,10,8,13,12,9,7,5,11,15,7,6,10,4,4,6,9,7,8,3,6,7,1,11,4,5,5,5,5,5,12,3,9,8,3,8,6,5,5,5,6,9,7,6,6,8,6,4,2,1,4,4,4,4,4,5,6,9,1,4,3,1,2,2,7,3,2,5,3,2,2,3,1,3,1,1,1,0,0,0,0,0,0,0,0,0,1
E00042047,12,7,5,7,9,10,10,11,13,8,7,9,6,5,7,8,8,3,4,5,3,9,1,6,6,5,11,5,4,2,4,3,6,6,5,2,4,4,6,6,5,4,7,3,3,3,2,3,6,3,5,6,4,1,2,1,4,0,2,2,5,4,2,4,4,1,2,2,1,1,2,0,3,0,0,1,0,2,0,1,0,1,2,0,0,1,0,0,1,0,0
E00042061,7,10,13,11,11,8,9,14,7,13,15,8,16,11,6,9,8,4,9,8,8,10,10,10,12,14,10,9,17,11,13,14,13,12,11,9,7,8,6,7,9,4,9,9,4,11,7,12,10,4,6,4,0,4,2,3,3,4,1,3,3,5,5,3,3,2,0,1,1,1,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
E00042062,15,11,17,5,13,11,17,9,11,18,13,19,14,18,13,11,9,11,11,9,12,11,9,6,7,11,7,9,13,9,10,15,15,11,10,9,12,9,13,8,8,9,7,6,8,6,9,12,11,7,8,7,6,2,5,4,4,2,1,2,2,1,4,5,3,3,2,1,3,1,1,3,0,2,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,3
E00042064,3,5,2,3,8,5,4,6,7,7,3,6,4,3,5,4,3,3,6,5,1,0,4,2,4,3,5,3,5,2,5,8,4,3,4,6,5,5,4,3,3,3,1,1,5,3,4,7,0,1,2,3,5,6,8,3,1,2,2,1,5,4,4,4,1,1,3,1,4,2,3,3,3,1,1,3,0,4,4,0,1,2,1,0,2,0,0,1,2,1,2
E00042066,3,1,5,0,3,4,1,3,2,5,3,4,3,1,6,1,2,1,0,2,4,1,4,3,3,3,2,2,1,3,0,0,0,2,3,1,3,1,8,2,2,3,2,1,3,1,4,2,3,1,2,3,1,3,2,1,1,4,2,1,1,3,4,2,2,1,1,2,2,3,2,2,6,1,2,2,1,4,2,3,1,4,2,2,2,0,2,1,0,0,4
E00042043,4,0,2,3,3,2,3,2,7,6,1,2,2,0,3,1,2,5,0,3,3,4,4,3,4,5,1,4,6,10,6,5,4,5,3,1,5,2,3,4,4,3,4,5,4,2,1,2,2,6,6,3,6,8,5,6,2,8,6,1,5,3,6,5,3,5,2,5,2,6,2,5,3,2,3,2,4,2,0,2,2,1,0,0,1,3,0,0,1,0,2
E00042048,2,1,2,2,1,6,1,2,5,2,4,10,0,5,3,2,5,8,2,4,6,3,1,1,2,4,7,10,4,3,5,0,5,4,5,1,1,1,3,5,3,1,6,3,3,0,7,8,5,6,4,3,9,5,3,4,9,8,5,8,6,6,4,9,5,4,3,4,1,4,10,3,6,1,4,1,6,3,3,1,1,4,1,2,3,1,0,2,2,2,4
E00042049,4,2,2,2,6,2,2,3,5,6,4,5,1,1,6,4,2,2,3,2,4,5,1,5,3,3,5,3,3,6,7,10,7,5,4,4,3,1,2,5,3,6,2,0,3,1,4,2,2,4,7,6,6,6,6,4,6,6,10,7,4,2,2,10,4,10,5,4,1,9,4,3,8,4,1,3,4,0,1,1,2,3,1,0,2,3,0,0,0,2,2
E00042051,5,3,1,1,3,5,1,1,9,4,1,7,2,2,3,6,3,3,2,6,4,3,4,2,0,5,4,1,5,7,4,3,2,11,5,2,3,4,1,5,2,6,5,4,2,8,4,4,4,5,5,3,2,5,2,3,6,4,7,7,3,10,9,2,2,2,6,4,9,4,2,2,2,1,2,1,4,3,3,3,4,2,5,6,0,6,3,4,5,2,14
E00042069,3,4,3,3,0,3,4,4,8,8,4,5,6,5,4,3,4,5,5,4,1,2,3,2,1,8,6,6,6,5,1,2,1,3,4,6,4,4,1,3,4,9,5,4,4,3,4,2,2,1,4,5,3,3,3,3,4,6,2,2,4,5,5,10,6,4,7,3,4,4,8,6,3,2,2,4,1,3,1,1,3,1,1,1,0,1,0,2,1,1,2
E00042070,0,6,4,4,5,3,4,3,1,3,0,3,2,5,2,1,1,2,1,2,3,1,2,0,1,6,3,1,6,4,4,2,3,2,3,3,4,3,4,3,0,7,2,3,4,2,6,2,2,1,0,2,8,4,6,2,2,7,3,10,9,5,4,4,3,2,3,3,6,6,2,3,2,2,1,1,1,0,1,1,2,1,0,1,1,2,1,0,2,0,2
