oa11cd,population
E00042286,444
E00042288,302
E00042289,243
E00042290,266
E00042294,279
E00042322,258
E00042313,286
E00042315,237
E00042316,310
E00042317,370
E00042321,106
E00042293,259
E00042318,398
E00042319,284
E00042320,243
E00042295,417
E00042299,534
E00042300,262
E00042303,193
E00042306,248
E00042296,270
E00042301,330
E00042304,250
E00042307,328
E00042308,348
E00042291,269
E00042297,243
E00042298,233
E00042302,260
E00042305,293
E00042292,205
E00042309,228
E00042310,139
E00042311,229
E00042312,238
E00042314,271
E00042326,360
E00042328,352
E00042341,253
E00042342,326
E00042353,260
E00042333,320
E00042337,286
E00042338,330
E00042343,329
E00042347,287
E00042324,312
E00042329,200
E00042330,198
E00042334,320
E00042335,273
E00042336,205
E00042325,310
E00042340,343
E00042344,158
E00175596,359
E00175598,496
E00042323,302
E00042339,302
E00042349,437
E00042350,465
E00042345,296
E00042348,290
E00042351,274
E00042352,289
E00042354,323
E00042355,434
E00042356,501
E00042357,520
E00042327,233
E00042331,157
E00042332,511
E00042358,266
E00042359,291
E00042361,217
E00042365,258
E00042399,294
E00042400,312
E00042401,280
E00042360,309
E00042364,270
E00042391,286
E00042393,270
E00042394,310
E00042367,214
E00042368,294
E00042369,263
E00042376,215
E00042377,269
E00042398,261
E00042366,238
E00042372,231
E00042373,306
E00042374,283
E00042381,269
E00042382,266
E00042370,275
E00042371,331
E00042375,250
E00042378,371
E00042379,341
E00042362,249
E00042380,394
E00042383,401
E00042384,424
E00042363,278
E00042385,337
E00042386,302
E00042387,213
E00042388,399
E00042389,261
E00042390,181
E00042392,209
E00042395,194
E00042396,226
E00042397,546
E00042412,334
E00042413,347
E00042415,298
E00042429,315
E00042433,246
E00042405,286
E00042406,543
E00042409,271
E00042410,275
E00042430,239
E00042411,304
E00042427,384
E00042428,326
E00042431,246
E00042432,426
E00042414,220
E00042434,257
E00042435,312
E00042436,230
E00042437,349
E00042438,436
E00042402,209
E00042403,378
E00042416,236
E00042417,235
E00042420,243
E00042421,222
E00042404,292
E00042418,302
E00042419,376
E00042424,369
E00042426,328
E00042407,258
E00042408,363
E00042422,313
E00042423,326
E00042425,288
E00042440,295
E00042454,371
E00042456,240
E00042457,573
E00042459,533
E00042439,615
E00042441,356
E00042461,442
E00042465,497
E00042467,353
E00042442,482
E00042455,337
E00042460,321
E00042462,409
E00042449,328
E00042452,482
E00042458,398
E00042463,360
E00042475,335
E00042443,490
E00042464,333
E00042466,329
E00042468,501
E00042469,187
E00042445,217
E00042470,397
E00042472,179
E00042473,330
E00042474,243
E00042444,416
E00042451,303
E00042453,230
E00042471,300
E00042476,552
E00042446,311
E00042447,375
E00042448,532
E00042450,517
E00042477,482
E00042482,291
E00042483,301
E00042487,310
E00042490,285
E00042511,295
E00042485,313
E00042486,237
E00042488,252
E00042493,244
E00042495,193
E00042510,310
E00042480,294
E00042484,256
E00042489,267
E00042512,323
E00042481,374
E00042491,550
E00042503,376
E00042505,295
E00175602,218
E00175603,285
E00175604,241
E00042492,335
E00042496,340
E00042500,384
E00042502,346
E00042494,291
E00042498,323
E00042499,340
E00042501,263
E00042504,250
E00042506,118
E00042478,366
E00042479,319
E00042507,424
E00042508,208
E00042509,416
E00042517,211
E00042522,300
E00042542,272
E00042543,387
E00042546,266
E00042516,368
E00042521,299
E00042525,341
E00042545,261
E00042523,310
E00042524,256
E00042526,303
E00042527,245
E00042528,310
E00042519,322
E00042539,231
E00042540,261
E00042541,272
E00042544,291
E00042530,312
E00042533,232
E00042534,212
E00042536,270
E00042537,259
E00042513,255
E00042514,275
E00042518,217
E00042520,248
E00042529,237
E00042515,248
E00042531,256
E00042532,275
E00042535,275
E00042538,285
E00042547,365
E00042548,283
E00042566,378
E00042568,255
E00042569,197
E00042570,405
E00042549,340
E00042571,225
E00042572,307
E00042573,238
E00042574,332
E00042575,288
E00042550,335
E00042551,279
E00042552,199
E00042553,329
E00042554,384
E00042555,431
E00042560,336
E00042562,332
E00042563,269
E00042564,308
E00042567,249
E00042556,338
E00042557,271
E00042558,164
E00042559,395
E00042561,236
E00042565,192
E00042597,123
E00042599,156
E00042604,643
E00042605,588
E00042577,243
E00042584,264
E00042594,170
E00042595,132
E00042601,162
E00042609,984
E00042582,261
E00042606,414
E00042607,389
E00042608,417
E00175584,699
E00175600,86
E00042579,261
E00042580,1717
E00042583,218
E00175564,935
E00175574,927
E00042578,355
E00042587,315
E00042588,476
E00042591,256
E00042592,145
E00042593,274
E00042576,329
E00042581,232
E00042585,285
E00042586,510
E00042589,281
E00042590,240
E00042612,176
E00042629,272
E00042630,344
E00042631,227
E00042632,249
E00042635,325
E00042621,261
E00042623,277
E00042627,258
E00042628,362
E00042634,326
E00042610,287
E00042625,277
E00042626,339
E00042633,299
E00042639,203
E00042615,291
E00042619,273
E00042620,325
E00042622,287
E00042624,319
E00042611,330
E00042636,263
E00042637,513
E00042638,250
E00042640,227
E00042613,328
E00042614,309
E00042616,274
E00042617,307
E00042618,207
E00042665,142
E00042669,1555
E00042670,855
E00042673,805
E00175556,507
E00175557,121
E00175588,174
E00042645,519
E00042646,551
E00042661,93
E00042671,111
E00042672,2232
E00175555,346
E00175594,350
E00042641,317
E00042648,312
E00042681,331
E00042682,349
E00042683,256
E00042643,479
E00042644,1305
E00042651,305
E00042654,154
E00042663,255
E00042667,181
E00042642,403
E00042649,264
E00042650,341
E00042653,517
E00042655,233
E00042652,211
E00042656,338
E00042657,445
E00042659,445
E00042662,347
E00042647,240
E00042658,423
E00042664,290
E00042666,338
E00042668,305
E00042685,129
E00042688,226
E00042689,329
E00042690,359
E00042691,197
E00042686,286
E00042687,285
E00042702,214
E00042703,246
E00042704,274
E00042705,284
E00042706,375
E00042713,474
E00042717,564
E00042718,255
E00042736,346
E00042707,401
E00042711,230
E00042712,318
E00042735,223
E00042739,306
E00042710,293
E00042725,393
E00042726,302
E00042729,299
E00042714,278
E00042719,320
E00042720,284
E00042722,275
E00042724,358
E00042708,286
E00042709,333
E00042715,309
E00042721,333
E00042727,345
E00042723,316
E00042728,347
E00042730,277
E00042731,339
E00042716,272
E00042732,235
E00042733,527
E00042734,196
E00042737,194
E00042738,216
E00042743,300
E00042750,215
E00042751,99
E00042760,264
E00042765,49
E00042766,267
E00042767,403
E00042740,407
E00042741,339
E00042761,289
E00042763,229
E00042764,404
E00042742,327
E00042753,91
E00042754,279
E00042755,44
E00175582,372
E00042745,420
E00042746,267
E00042747,230
E00042748,220
E00042752,233
E00042756,275
E00042757,256
E00042758,336
E00042759,337
E00042762,248
E00042769,281
E00042770,215
E00042778,213
E00042798,317
E00042800,234
E00042771,263
E00042777,386
E00042796,271
E00042799,177
E00042802,283
E00042768,235
E00042776,328
E00042779,278
E00042797,152
E00042801,349
E00042772,319
E00042773,225
E00042781,216
E00042784,209
E00042794,365
E00042780,284
E00042782,272
E00042783,297
E00042785,249
E00042786,321
E00042774,286
E00042789,264
E00042791,312
E00042792,335
E00042795,356
E00042775,514
E00042787,267
E00042788,278
E00042790,222
E00042793,164
E00042803,378
E00042808,491
E00042812,155
E00175577,385
E00042807,240
E00042810,324
E00042811,502
E00042814,278
E00042816,217
E00042818,188
E00042819,189
E00042805,244
E00042806,257
E00042823,268
E00042824,321
E00042827,407
E00042828,271
E00042832,250
E00042833,426
E00042840,210
E00042841,224
E00042848,336
E00042850,255
E00042839,241
E00042842,253
E00042846,253
E00042867,294
E00042871,259
E00042834,257
E00042837,248
E00042845,240
E00042852,327
E00042855,264
E00042838,317
E00042844,270
E00042849,295
E00042866,260
E00042869,281
E00042831,490
E00042836,304
E00042843,273
E00042851,259
E00042857,323
E00042863,303
E00042847,277
E00042853,216
E00042859,314
E00042860,268
E00042861,250
E00042835,230
E00042854,227
E00042856,251
E00042858,285
E00042862,244
E00042864,288
E00042865,298
E00042868,241
E00042870,273
E00042872,234
E00042874,558
E00042875,497
E00042899,608
E00042903,393
E00042882,529
E00042888,427
E00042890,392
E00042892,347
E00042881,344
E00042883,314
E00042884,227
E00042885,264
E00042886,308
E00042887,342
E00042876,402
E00042880,390
E00042889,397
E00042891,246
E00042893,303
E00042894,427
E00042895,301
E00042896,332
E00042897,407
E00042878,494
E00042879,435
E00042898,471
E00042902,362
E00042904,319
E00042906,245
E00042907,299
E00042908,309
E00042923,259
E00042905,214
E00042909,245
E00042925,313
E00042926,303
E00042928,332
E00042930,202
E00042910,308
E00042911,319
E00042912,487
E00042913,384
E00042929,224
E00042916,368
E00042919,318
E00042920,353
E00042921,335
E00042924,263
E00042927,257
E00042914,239
E00042915,296
E00042917,269
E00042918,310
E00042922,268
E00042826,652
E00175551,750
E00175553,799
E00175558,411
E00175561,400
E00042830,200
E00175552,215
E00175559,820
E00175575,506
E00175576,319
E00175585,256
E00042693,400
E00042694,259
E00042695,143
E00042697,280
E00175554,796
E00175581,303
E00175586,325
E00042674,426
E00175560,205
E00175563,185
E00175580,283
E00175583,609
E00175566,252
E00175567,367
E00175568,358
E00175569,367
E00175570,378
E00175573,336
E00042168,302
E00042171,338
E00042172,235
E00042175,325
E00042178,318
E00175571,253
E00042677,227
E00042679,879
E00175578,1611
E00175579,259
E00175593,1237
E00175595,107
E00042820,3446
E00042822,383
E00042825,730
E00042829,368
E00175587,153
E00042596,130
E00042598,329
E00042600,1497
E00042873,398
E00042877,804
E00042900,743
E00042901,593
