oa11cd,population
E00042044,247
E00042052,308
E00042054,316
E00042055,318
E00042058,137
E00042042,321
E00042050,365
E00042053,352
E00042056,263
E00042057,397
E00042045,201
E00042059,381
E00042065,433
E00175597,675
E00042046,444
E00042047,358
E00042061,552
E00042062,625
E00042064,292
E00042066,202
E00042043,294
E00042048,344
E00042049,336
E00042051,356
E00042069,323
E00042070,254
E00042071,227
E00042078,236
E00042092,288
E00042067,315
E00042068,287
E00042082,288
E00042083,292
E00042084,200
E00042072,298
E00042073,360
E00042074,244
E00042075,382
E00042076,337
E00042077,204
E00042079,227
E00042080,242
E00042093,214
E00042094,185
E00042096,221
E00042090,296
E00042101,386
E00042103,365
E00042106,360
E00175592,352
E00042081,775
E00042095,255
E00042097,322
E00042099,296
E00042085,217
E00042086,338
E00042091,341
E00042102,411
E00042087,301
E00042088,319
E00042089,166
E00042100,279
E00042104,645
E00042110,229
E00042117,221
E00042120,321
E00042121,264
E00042122,278
E00042123,203
E00042124,172
E00042109,253
E00042116,281
E00042130,264
E00042137,195
E00042138,313
E00042139,235
E00042111,196
E00042112,245
E00042127,343
E00042128,166
E00042129,349
E00042131,232
E00042133,336
E00042114,334
E00042115,348
E00042125,194
E00042126,313
E00042132,245
E00042134,389
E00042136,328
E00042107,300
E00042108,418
E00042113,300
E00042118,544
E00042135,311
E00175550,228
E00175562,441
E00042157,283
E00042158,332
E00042159,301
E00042160,291
E00042161,292
E00042162,361
E00042153,257
E00042154,222
E00042155,280
E00042156,236
E00042164,225
E00042165,301
E00042166,250
E00175572,1559
E00175591,1793
E00175605,277
E00042169,269
E00042170,287
E00042173,286
E00042174,295
E00042176,303
E00042177,268
E00042144,227
E00042145,249
E00042146,290
E00042147,1068
E00042148,289
E00042141,348
E00042143,301
E00042149,327
E00042150,279
E00042140,301
E00042142,303
E00042151,263
E00042152,281
E00042184,359
E00042195,343
E00175565,246
E00175601,142
E00042182,359
E00042191,215
E00042196,327
E00042218,268
E00042222,276
E00042183,322
E00042186,172
E00042187,545
E00042192,236
E00042225,297
E00042185,339
E00042209,164
E00042210,335
E00042217,348
E00042223,333
E00042188,331
E00042193,307
E00042194,322
E00042226,142
E00042227,240
E00042180,500
E00042208,213
E00042213,412
E00042220,333
E00042224,263
E00042190,339
E00042197,240
E00042199,355
E00042200,295
E00042206,255
E00042189,270
E00042198,270
E00042201,290
E00042202,335
E00042207,321
E00042211,247
E00042205,298
E00042212,303
E00042214,281
E00042215,280
E00042219,323
E00042179,241
E00042203,274
E00042216,285
E00042221,200
E00175589,329
E00175590,209
E00042228,803
E00042246,263
E00042251,403
E00042255,346
E00042238,336
E00042247,155
E00042256,328
E00042258,290
E00042261,269
E00042229,260
E00042232,311
E00042234,333
E00042257,252
E00042259,290
E00042230,368
E00042252,192
E00042260,400
E00175599,305
E00042236,212
E00042248,252
E00042249,243
E00042250,219
E00042253,250
E00042233,325
E00042235,299
E00042243,255
E00042244,343
E00042254,253
E00042237,210
E00042240,279
E00042241,212
E00042242,262
E00042245,407
E00042276,330
E00042277,378
E00042282,360
E00042284,452
E00042287,387
E00042262,701
E00042269,528
E00042270,530
E00042278,297
E00042280,717
E00042283,156
E00042271,413
E00042272,645
E00042279,371
E00042285,475
E00042263,276
E00042264,275
E00042265,586
E00042266,605
E00042268,213
E00042274,279
E00042267,563
E00042273,534
E00042275,422
E00042281,354
