oa11cd,workers
E00042509,353
E00042510,598
E00042511,27
E00042512,27
E00042513,34
E00042514,25
E00042515,59
E00042516,63
E00042517,109
E00042518,21
E00042519,61
E00042520,16
E00042521,21
E00042522,42
E00042523,17
E00042524,10
E00042525,5
E00042526,17
E00042527,23
E00042528,21
E00042529,30
E00042530,21
E00042531,18
E00042532,20
E00042533,19
E00042534,129
E00042535,27
E00042536,53
E00042537,63
E00042538,2563
E00042539,45
E00042540,19
E00042541,37
E00042542,19
E00042543,108
E00042544,19
E00042545,48
E00042546,227
E00042547,32
E00042548,70
E00042549,17
E00042550,14
E00042551,10
E00042552,6
E00042553,20
E00042554,50
E00042555,27
E00042556,1741
E00042557,122
E00042558,501
E00042559,38
E00042560,101
E00042561,21
E00042562,177
E00042563,12
E00042564,14
E00042565,7
E00042566,72
E00042567,32
E00042568,14
E00042569,10
E00042570,18
E00042571,55
E00042572,23
E00042573,5
E00042574,6
E00042575,16
E00042576,18
E00042577,10
E00042578,62
E00042579,3163
E00042580,11258
E00042581,85
E00042582,82
E00042583,4301
E00042584,37
E00042585,14
E00042586,132
E00042587,18
E00042588,74
E00042589,22
E00042590,21
E00042591,22
E00042592,9
E00042593,29
E00042594,70
E00042595,49
E00042596,26
E00042597,30
E00042598,38
E00042599,75
E00042600,317
E00042601,1608
E00042604,37
E00042605,23
E00042606,28
E00042607,24
E00042608,97
E00042609,5201
E00042610,82
E00042611,43
E00042612,165
E00042613,17
E00042614,55
E00042615,42
E00042616,22
E00042617,428
E00042618,125
E00042619,43
E00042620,52
E00042621,138
E00042622,49
E00042623,23
E00042624,24
E00042625,332
E00042626,164
E00042627,20
E00042628,25
E00042629,10
E00042630,24
E00042631,45
E00042632,28
E00042633,119
E00042634,34
E00042635,276
E00042636,62
E00042637,291
E00042638,33
E00042639,28
E00042640,764
E00042641,30
E00042642,21
E00042643,66
E00042644,387
E00042645,512
E00042646,89
E00042647,71
E00042648,130
E00042649,24
E00042650,100
E00042651,28
E00042652,9
E00042653,29
E00042654,13
E00042655,17
E00042656,51
E00042657,42
E00042658,64
E00042659,28
E00042661,6
E00042662,24
E00042663,8
E00042664,64
E00042665,33
E00042666,25
E00042667,9
E00042668,13
E00042669,203
E00042670,234
E00042671,9
E00042672,185
E00042673,231
E00042674,58
E00042677,14
E00042679,634
E00042681,149
E00042682,31
E00042683,22
E00042685,238
E00042686,67
E00042687,45
E00042688,78
E00042689,55
E00042690,22
E00042691,75
E00042693,18
E00042694,17
E00042695,10
E00042697,21
E00042702,123
E00042703,28
E00042704,14
E00042705,48
E00042706,37
E00042707,264
E00042708,42
E00042709,43
E00042710,145
E00042711,49
E00042712,955
E00042713,141
E00042714,42
E00042715,54
E00042716,255
E00042717,211
E00042718,27
E00042719,54
E00042720,22
E00042721,177
E00042722,68
E00042723,89
E00042724,29
E00042725,134
E00042726,22
E00042727,55
E00042728,94
E00042729,28
E00042730,73
E00042731,150
E00042732,18
E00042733,23
E00042734,43
E00042735,139
E00042736,52
E00042737,18
E00042738,15
E00042739,31
E00042740,11
E00042741,14
E00042742,17
E00042743,665
E00042745,159
E00042746,15
E00042747,20
E00042748,18
E00042750,23
E00042751,5
E00042752,99
E00042753,10
E00042754,38
E00042755,5
E00042756,122
E00042757,12
E00042758,87
E00042759,50
E00042760,373
E00042761,75
E00042762,98
E00042763,14
E00042764,25
E00042765,29
E00042766,121
E00042767,873
E00042768,48
E00042769,36
E00042770,91
E00042771,210
E00042772,602
E00042773,67
E00042774,13
E00042775,28
E00042776,61
E00042777,15
E00042778,18
E00042779,22
E00042780,24
E00042781,12
E00042782,26
E00042783,18
E00042784,176
E00042785,26
E00042786,46
E00042787,23
E00042788,26
E00042789,27
E00042790,14
E00042791,7
E00042792,16
