oa11cd,x,y
E00042780,429042.611,566334.107
E00042708,424967.716,567403.685
E00042789,428755.937,565593.503
E00042709,425136.011,567360.091
E00042788,429547.449,565866.102
E00042046,422116.597,563648.529
E00042047,421866.976,563624.548
E00042044,420509.207,564622.209
E00042045,421551.722,564088.46
E00042042,421259.393,564639.754
E00042043,420448.616,564819.213
E00042048,420434.645,565063.405
E00042049,420632.499,564993.341
E00042276,423176.274,564244.369
E00042277,423260.1,564185.84
E00042274,421847.74,564399.872
E00042275,422460.797,564186.348
E00042272,422879.804,564224.884
E00042273,422337.136,564357.76
E00042270,422113.439,564425.872
E00042271,422512.392,564377.966
E00042278,422009.812,564118.547
E00042279,422721.299,564167.174
E00042226,426606.912,566896.85
E00042227,426861.314,566865.992
E00042224,428090.501,567048.171
E00042225,427859.262,567001.117
E00042222,426587.787,567070.187
E00042223,426253.503,567301.784
E00042220,427999.522,567189.065
E00042221,427026.723,567230.092
E00042228,419687.777,566818.871
E00042229,418719.013,566588.054
E00042216,426906.107,567274.931
E00042297,422946.809,568582.37
E00042217,426108.43,567250.377
E00042296,422649.36,568454.192
E00042214,426854.49,567390.699
E00042295,422126.665,568516.538
E00042215,426757.254,567418.985
E00042294,423086.554,568669.286
E00042212,426569.706,567490.324
E00042293,422630.017,568828.169
E00042213,427993.517,567513.656
E00042292,422760.516,569753.189
E00042210,426301.76,567498.816
E00042291,422960.001,568407.863
E00042211,425627.464,567625.077
E00042290,423200.021,568784.563
E00042299,421967.205,568367.625
E00042219,426604.133,567313.587
E00042298,423138.597,568379.649
E00042466,425345.342,565822.772
E00042467,425648.515,565630.066
E00042464,425111.507,565870.324
E00042465,425966.545,565914.434
E00042462,425636.887,566074.392
E00042463,425216.129,566058.08
E00042460,425766.651,566166.582
E00042461,425457.35,566110.247
E00042468,425433.041,565594.923
E00042469,425298.098,565654.741
E00042456,425783.676,566449.259
E00042457,425690.518,566348.658
E00042846,418172.128,567180.089
E00042454,425908.284,566368.833
E00042847,418667.371,567134.991
E00042455,425571.629,566309.728
E00042844,418723.663,567341.055
E00042452,424999.015,566373.802
E00042845,417895.719,567222.889
E00042453,425468.273,566588.434
E00042842,418162.63,567469.099
E00042450,425015.975,566486.786
E00042843,419901.214,567269.917
E00042451,425313.13,566470.635
E00042840,419158.616,567486.221
E00042841,419396.357,567403.801
E00042458,425250.296,566318.209
E00042459,425797.825,566271.96
E00042848,419259.22,567291.499
E00042849,419073.483,567210.75
E00042406,427368.025,565623.772
E00042487,422828.964,567620.808
E00042407,426992.688,566231.99
E00042486,422360.585,567318.662
E00042836,420432.082,566982.2
E00042404,427242.701,566263.734
E00042485,422321.771,567700.905
E00042837,417660.038,567405.435
E00042405,427501.496,566174.484
E00042484,422630.353,567688.776
E00042834,417580.15,566880.133
E00042402,427825.273,566639.407
E00042483,422858.485,567820.79
E00042835,418394.442,566857.036
E00042482,423061.721,567805.572
E00042832,419368.265,567057.505
E00042400,424665.439,568777.85
E00042481,421892.344,567196.139
E00042833,419549.768,567009.114
E00042401,425101.558,568779.413
E00042480,422454.231,567835.893
E00042830,424381.88,563933.694
E00042831,419768.877,567132.523
E00042408,426887.086,565960.318
E00042489,422467.586,567526.243
E00042409,427518.819,566000.494
E00042488,422606.286,567431.584
E00042838,418900.655,567399.92
E00042146,421448.717,569545.486
E00042147,421961.086,569640.422
E00042144,421612.366,569671.567
E00042145,421604.929,569534.122
E00042142,421892.435,569108.788
E00042143,421090.826,569145.413
E00042140,421613.379,569167.919
E00042141,421372.418,569120.971
E00042148,422052.14,569392.865
E00042149,421428.726,569300.14
E00042136,426808.041,564457.135
E00042137,427679.646,564521.36
E00042134,426548.868,564550.374
E00042135,427283.821,564609.172
E00042132,426978.275,564583.292
E00042133,427163.564,564610.244
E00042130,427659.664,564699.889
E00042131,427342.61,564693.734
E00042138,427505.105,564520.444
E00042139,427568.362,564341.169
E00042646,425597.73,565059.907
E00042647,426320.943,564998.378
E00042644,426111.803,565154.403
E00042645,425764.282,565185.923
E00042642,425967.771,565336.82
E00042643,426345.268,565207.798
E00042640,417651.793,565335.212
E00042641,426264.673,565733.869
E00042648,425906.252,565506.238
E00042649,426127.177,565471.254
E00042636,416597.024,565696.766
E00042637,416908.482,565536.139
E00042634,416271.737,566345.104
E00042635,415436.894,566143.041
E00042632,415737.43,566291.583
E00042633,417727.114,566255.302
E00042630,415398.782,566451.713
E00042631,415517.6,566441.042
E00042638,416704.158,565446.769
E00042639,417490.533,565381.521
E00042376,423269.562,568312.702
E00042377,423454.35,568343.276
E00042374,424798.39,568289.602
E00042375,424184.854,568266.645
E00042372,424944.233,568371.384
E00042373,424671.369,568263.957
E00042370,424436.464,568395.151
E00042371,424109.454,568251.108
E00042378,424530.492,568303.269
E00042379,424280.159,568232.459
E00042326,421119.627,565180.806
E00042327,420661.459,566042.49
E00042324,420050.762,565675.618
E00042325,421512.076,565452.308
E00042322,422979.665,568915.838
E00042323,421465.827,565595.143
E00042320,422155.668,569037.456
E00042321,422743.854,569003.822
E00042328,421124.515,565729.072
E00042329,420292.643,566129.989
E00042316,422714.589,569123.493
E00042397,424092.868,568939.668
E00042317,422561.184,569072.982
E00042396,424424.295,568973.907
E00042314,422463.09,569388.074
E00042395,424282.179,569060.345
E00042315,422976.689,569237.618
E00042394,423805.777,569114.426
E00042312,422890.011,569397.412
E00042393,423764.867,568936.819
E00042313,422711.206,569306.293
E00042392,424497.673,569175.626
E00042310,422640.203,569737.985
E00042391,423995.482,569098.02
E00042390,424397.439,569171.558
E00042318,422207.466,568942.168
E00042399,424918.701,568897.332
E00042319,422421.973,569038.741
E00042398,423567.507,568787.014
E00042566,428158.811,564534.07
E00042567,428279.67,564655.413
E00042564,428191.743,564989.429
E00042565,427896.319,564699.049
E00042562,428079.259,564928.877
E00042563,428325.041,564828.808
E00042560,428385.971,565009.456
E00042561,428137.927,564724.344
E00042568,427819.687,564557.855
E00042569,428096.766,564348.286
E00042556,427734.993,564863.86
E00042557,428211.779,565445.924
E00042554,428057.569,563508.832
E00042555,428428.776,563279.91
E00042552,428009.804,563671.131
E00042553,428225.739,563449.472
E00042550,428402.572,563430.203
E00042551,428356.361,563602.064
E00042558,428215.115,565534.911
E00042559,428262.233,565202.927
E00042506,422917.731,567020.133
E00042587,423345.651,564578.938
E00042507,421997.935,566829.077
E00042586,423770.53,564420.23
E00042504,422615.335,567126.575
E00042585,423601.906,564685.461
E00042505,421833.222,566899.293
E00042584,423912.767,564647.338
E00042502,423553.251,567083.206
E00042583,425046.741,564677.134
E00042503,421781.033,567026.854
E00042582,423301.893,564719.618
E00042500,423233.293,567144.583
E00042581,423428.768,564861.811
E00042501,423246.575,566871.592
E00042580,424563.704,564659.705
E00042930,420461.525,567745.81
E00042508,422345.817,566267.926
E00042589,423570.295,564510.829
E00042509,422193.579,566384.201
E00042588,423224.815,564529.589
E00175604,421727.237,567363.103
E00175601,427530.167,567089.407
E00175562,427151.699,564053.255
E00175594,425476.515,565321.952
E00175582,428617.423,563488.044
E00175557,426194.032,564307.398
E00175572,422422.192,570735.645
E00175602,421582.146,567303.241
E00175550,426704.036,564003.897
E00175600,423631.713,564955.235
E00042746,428928.498,563781.914
E00042747,429120.13,563971.356
E00042745,428700.845,563880.918
E00042742,428978.513,563359.83
E00042743,429402.905,563729.867
E00042740,428529.062,564124.47
E00042741,428709.459,564074.104
E00042748,429044.641,563837.172
E00042736,425243.713,568002.424
E00042737,425356.271,567947.406
E00042734,425378.568,568215.626
E00042735,424279.862,568060.942
E00042732,425533.308,568350.679
E00042733,425352.905,568307.426
E00042730,424160.689,567008.434
E00042731,423957.874,567054.372
E00042738,425300.06,567952.206
E00042739,424127.556,567934.107
E00042076,421459.127,567703.058
E00042077,420967.663,567736.298
E00042074,421618.472,568147.258
E00042075,421540.373,567820.131
E00042072,421818.615,568249.803
E00042073,421728.397,568173.803
E00042070,420756.478,567867.098
E00042071,421053.695,567936.19
E00042078,420774.349,567681.78
E00042079,420775.887,567545.733
E00042097,420891.584,567040.425
E00042096,421266.802,567346.97
E00042095,420958.14,567202.912
E00042094,421227.231,567453.706
E00042093,421078.768,567398.997
E00042092,421269.038,567622.778
E00042091,421135.906,566298.307
E00042090,421462.557,566289.459
E00042099,420827.379,566862.505
E00042266,422148.2,564570.023
E00042267,422301.82,564527.388
E00042264,421846.851,564636.574
E00042265,422004.369,564599.756
E00042262,422244.84,564265.768
E00042263,421671.706,564605.072
E00042260,419906.846,566409.152
E00042261,419380.821,566295.438
E00042268,421554.658,564617.309
E00042269,421966.623,564412.422
E00042256,419662.868,566446.334
E00042257,418559.371,566449.391
E00042254,418964.008,566511.245
E00042255,419796.046,566546.842
